n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(25)_final(6).mov,resources/videos_natural\training(29).mov,False,True,left,0,0,0,0,2018-09-21 10:11:32.031342,2018-09-21 10:11:36.501598,0:00:04.470256,1,left,1,0.8175292661403546,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(28)_final(1).mov,resources/videos_natural\training(5).mov,True,False,right,0,1,1,1,2018-09-21 10:11:38.436709,2018-09-21 10:11:42.339932,0:00:03.903223,1,right,1,0.5506952496543818,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(19)_final(2).mov,resources/videos_natural\training(2).mov,False,True,left,0,2,2,2,2018-09-21 10:11:44.008027,2018-09-21 10:11:47.928252,0:00:03.920225,1,right,0,0.467343294010675,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(23)_final(6).mov,resources/videos_natural\training(12).mov,True,False,right,0,3,3,3,2018-09-21 10:11:49.512342,2018-09-21 10:11:53.432566,0:00:03.920224,1,right,1,0.5006586575673282,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(28)_final(3)_hip-corrected.mov,resources/videos_natural\training(4).mov,True,True,left,0,4,4,4,2018-09-21 10:11:55.050659,2018-09-21 10:11:58.953882,0:00:03.903223,1,left,1,1.1678649194824402,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(27)_final(8).mov,resources/videos_natural\training(42).mov,True,True,left,0,5,5,5,2018-09-21 10:12:01.240013,2018-09-21 10:12:05.176238,0:00:03.936225,1,right,0,0.5006625727701248,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(23)_final(6)_fail.mov,resources/videos_natural\training(27).mov,True,True,left,0,6,6,6,2018-09-21 10:12:06.794331,2018-09-21 10:12:10.697554,0:00:03.903223,1,left,1,0.7676598230930267,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(22)_final(4).mov,resources/videos_natural\training(37).mov,False,True,left,0,7,7,7,2018-09-21 10:12:12.582662,2018-09-21 10:12:16.502886,0:00:03.920224,1,right,0,0.400591496781999,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(25)_final(0).mov,resources/videos_natural\training(6).mov,False,True,left,0,8,8,8,2018-09-21 10:12:18.020973,2018-09-21 10:12:21.924196,0:00:03.903223,1,right,0,1.418099379892169,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(4).mov,resources/videos_natural\training(42).mov,False,False,right,0,9,9,9,2018-09-21 10:12:24.459341,2018-09-21 10:12:28.362564,0:00:03.903223,1,right,1,0.5508157174308508,20,f,2,13,2018_Sep_21_1010,MP_PerceptionTuring2,59.34068094369803,
