n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(24)_final(2).mov,resources/videos_natural\training(44).mov,True,False,right,0,0,0,0,2018-12-13 12:06:49.649692,2018-12-13 12:06:54.286957,0:00:04.637265,1,right,1,2.2689220775818058,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
2,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(5).mov,resources/videos_natural\training(35).mov,False,True,left,0,1,1,1,2018-12-13 12:06:57.673151,2018-12-13 12:07:01.593375,0:00:03.920224,1,right,0,0.9011550319680737,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(19)_final(6).mov,resources/videos_natural\training(4).mov,True,False,right,0,2,2,2,2018-12-13 12:07:03.611490,2018-12-13 12:07:07.531715,0:00:03.920225,1,right,1,0.11713766748664511,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(21)_final(0).mov,resources/videos_natural\training(26).mov,False,True,left,0,3,3,3,2018-12-13 12:07:08.765785,2018-12-13 12:07:12.670009,0:00:03.904224,1,left,1,1.1345994281912226,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
5,resources/videos_generated\model(dmp)-dataset(walking)-npsi(100)_final(5).mov,resources/videos_natural\training(10).mov,False,True,left,0,4,4,4,2018-12-13 12:07:14.921137,2018-12-13 12:07:18.808360,0:00:03.887223,1,left,1,1.101197437251244,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(19)_final(4).mov,resources/videos_natural\training(19).mov,True,True,left,0,5,5,5,2018-12-13 12:07:21.026487,2018-12-13 12:07:24.913709,0:00:03.887222,1,left,1,0.5174372150330555,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(17)_final(0).mov,resources/videos_natural\training(12).mov,False,False,right,0,6,6,6,2018-12-13 12:07:26.547802,2018-12-13 12:07:30.452026,0:00:03.904224,1,left,0,0.4503736212636795,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(23)_final(4)_fail.mov,resources/videos_natural\training(47).mov,False,False,right,0,7,7,7,2018-12-13 12:07:32.019115,2018-12-13 12:07:35.923339,0:00:03.904224,1,right,1,0.7509078133842877,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(23)_final(9).mov,resources/videos_natural\training(44).mov,True,True,left,0,8,8,8,2018-12-13 12:07:37.791445,2018-12-13 12:07:41.694669,0:00:03.903224,1,left,1,0.4839819163152015,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
10,resources/videos_generated\model(dmp)-dataset(walking)-npsi(70)_final(9).mov,resources/videos_natural\training(37).mov,False,True,left,0,9,9,9,2018-12-13 12:07:43.295760,2018-12-13 12:07:47.199984,0:00:03.904224,1,left,1,2.719256546240217,22,m,2,27,2018_Dec_13_1205,MP_PerceptionTuring2,59.93395306860249,
