n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(28)_final(8).mov,resources/videos_natural\training(5).mov,False,True,left,0,0,0,0,2018-09-17 10:08:34.373391,2018-09-17 10:08:38.577631,0:00:04.204240,1,left,1,0.5340418867726839,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(26)_final(5).mov,resources/videos_natural\training(40).mov,False,False,right,0,1,1,1,2018-09-17 10:08:40.228725,2018-09-17 10:08:44.148950,0:00:03.920225,1,right,1,0.21885537197613303,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(23)_final(0).mov,resources/videos_natural\training(41).mov,True,False,right,0,2,2,2,2018-09-17 10:08:45.483026,2018-09-17 10:08:49.420251,0:00:03.937225,1,left,0,0.48407591902105196,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(28)_final(2).mov,resources/videos_natural\training(43).mov,False,True,left,0,3,3,3,2018-09-17 10:08:51.021343,2018-09-17 10:08:54.924566,0:00:03.903223,1,left,1,0.5673154879868889,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(22)_final(5).mov,resources/videos_natural\training(26).mov,False,True,left,0,4,4,4,2018-09-17 10:08:56.609662,2018-09-17 10:09:00.545888,0:00:03.936226,1,left,1,0.21709412778091064,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(22)_final(1).mov,resources/videos_natural\training(28).mov,False,True,left,0,5,5,5,2018-09-17 10:09:01.880964,2018-09-17 10:09:05.801188,0:00:03.920224,1,left,1,0.21719321282580495,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(19)_final(3).mov,resources/videos_natural\training(20).mov,True,False,right,0,6,6,6,2018-09-17 10:09:07.135264,2018-09-17 10:09:11.072490,0:00:03.937226,1,right,1,0.267038411266185,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(22)_final(2).mov,resources/videos_natural\training(4).mov,True,True,left,0,7,7,7,2018-09-17 10:09:12.456569,2018-09-17 10:09:16.409795,0:00:03.953226,1,right,0,0.1670799727744452,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(22)_final(3).mov,resources/videos_natural\training(27).mov,False,False,right,0,8,8,8,2018-09-17 10:09:17.694868,2018-09-17 10:09:21.615093,0:00:03.920225,1,right,1,0.23378709665757924,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(25)_final(5).mov,resources/videos_natural\training(10).mov,True,True,left,0,9,9,9,2018-09-17 10:09:22.965170,2018-09-17 10:09:26.885394,0:00:03.920224,1,left,1,0.0169131244010714,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
11,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(27)_final(0)_hip-correted.mov,resources/videos_natural\training(43).mov,False,False,right,0,10,10,10,2018-09-17 10:09:28.020459,2018-09-17 10:09:32.006687,0:00:03.986228,1,right,1,0.23381420198893466,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
12,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(24)-lvm(23)_final(2).mov,resources/videos_natural\training(26).mov,True,False,right,0,11,11,11,2018-09-17 10:09:33.357764,2018-09-17 10:09:37.260988,0:00:03.903224,1,left,0,0.25064902209942375,25,m,1,3,2018_Sep_17_1007,MP_PerceptionTuring2,59.95316243827992,
