n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(23)_final(4)_fail.mov,resources/videos_natural\training(18).mov,False,False,right,0,0,0,0,2018-10-29 14:06:28.822622,2018-10-29 14:06:33.476888,0:00:04.654266,1,right,1,1.868471134527681,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
2,resources/videos_generated\model(tmp)-dataset(walking)-numprim(15)_final(9).mov,resources/videos_natural\training(23).mov,True,False,right,0,1,1,1,2018-10-29 14:06:36.463059,2018-10-29 14:06:40.366282,0:00:03.903223,1,right,1,0.06700436188839376,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(18)_final(4).mov,resources/videos_natural\training(36).mov,False,True,left,0,2,2,2,2018-10-29 14:06:41.550350,2018-10-29 14:06:45.637583,0:00:04.087233,1,left,1,0.03362385482796526,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(19)_final(6).mov,resources/videos_natural\training(40).mov,True,False,right,0,3,3,3,2018-10-29 14:06:46.855653,2018-10-29 14:06:50.774877,0:00:03.919224,1,left,0,0.40057963751405623,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(21)_final(8).mov,resources/videos_natural\training(29).mov,True,False,right,0,4,4,4,2018-10-29 14:06:52.292964,2018-10-29 14:06:56.380198,0:00:04.087234,1,right,1,2.752654463338331,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(8).mov,resources/videos_natural\training(13).mov,False,True,left,0,5,5,5,2018-10-29 14:07:00.250419,2018-10-29 14:07:04.270649,0:00:04.020230,1,left,1,0.4197032181227769,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(23)_final(9).mov,resources/videos_natural\training(46).mov,True,False,right,0,6,6,6,2018-10-29 14:07:05.804737,2018-10-29 14:07:09.907972,0:00:04.103235,1,left,0,0.3840461445197434,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
8,resources/videos_generated\model(tmp)-dataset(walking)-numprim(12)_final(3).mov,resources/videos_natural\training(1).mov,False,True,left,0,7,7,7,2018-10-29 14:07:11.410057,2018-10-29 14:07:15.496291,0:00:04.086234,1,right,0,0.7339434897094179,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(21)_final(4).mov,resources/videos_natural\training(42).mov,False,False,right,0,8,8,8,2018-10-29 14:07:17.348397,2018-10-29 14:07:21.434631,0:00:04.086234,1,right,1,0.5007636240861757,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(20)_final(0).mov,resources/videos_natural\training(1).mov,False,False,right,0,9,9,9,2018-10-29 14:07:23.052723,2018-10-29 14:07:27.139957,0:00:04.087234,1,right,1,0.3004549820188913,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
11,resources/videos_generated\model(tmp)-dataset(walking)-numprim(15)_final(5).mov,resources/videos_natural\training(26).mov,False,False,right,0,10,10,10,2018-10-29 14:07:28.558038,2018-10-29 14:07:32.678274,0:00:04.120236,1,right,1,0.300777839451257,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
12,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(24)_final(4).mov,resources/videos_natural\training(11).mov,False,True,left,0,11,11,11,2018-10-29 14:07:34.096355,2018-10-29 14:07:38.049581,0:00:03.953226,1,left,1,0.4339544222884797,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
13,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(24)_final(6).mov,resources/videos_natural\training(6).mov,True,False,right,0,12,12,12,2018-10-29 14:07:39.600670,2018-10-29 14:07:43.520894,0:00:03.920224,1,right,1,0.41743056682844326,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
14,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(22)_final(0).mov,resources/videos_natural\training(32).mov,True,False,right,0,13,13,13,2018-10-29 14:07:45.054982,2018-10-29 14:07:49.142216,0:00:04.087234,1,right,1,0.567346343805184,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
15,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(24)-lvm(25)_final(3).mov,resources/videos_natural\training(15).mov,True,True,left,0,14,14,14,2018-10-29 14:07:50.827312,2018-10-29 14:07:54.730535,0:00:03.903223,1,right,0,0.4004103782999664,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
16,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(23)_final(2).mov,resources/videos_natural\training(34).mov,False,True,left,0,15,15,15,2018-10-29 14:07:56.248622,2018-10-29 14:08:00.335856,0:00:04.087234,1,right,0,0.33380717881937017,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
17,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(21)_final(8).mov,resources/videos_natural\training(13).mov,True,False,right,0,16,16,16,2018-10-29 14:08:01.786939,2018-10-29 14:08:05.857172,0:00:04.070233,1,right,1,0.3506035958253051,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
18,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(24)_final(2).mov,resources/videos_natural\training(12).mov,False,True,left,0,17,17,17,2018-10-29 14:08:07.324256,2018-10-29 14:08:11.411489,0:00:04.087233,1,left,1,0.36720906916161766,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
19,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(28)_final(5).mov,resources/videos_natural\training(28).mov,True,False,right,0,18,18,18,2018-10-29 14:08:12.896574,2018-10-29 14:08:16.999809,0:00:04.103235,1,left,0,0.3506442541765864,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
20,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(25)_final(0).mov,resources/videos_natural\training(34).mov,True,False,right,0,19,19,19,2018-10-29 14:08:18.467893,2018-10-29 14:08:22.571128,0:00:04.103235,1,right,1,0.8342940249394815,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
21,resources/videos_generated\model(dmp)-dataset(walking)-npsi(90)_final(3).mov,resources/videos_natural\training(39).mov,True,False,right,0,20,20,20,2018-10-29 14:08:24.523239,2018-10-29 14:08:28.626474,0:00:04.103235,1,left,0,0.43394839882876113,20,f,2,18,2018_Oct_29_1405,MP_PerceptionTuring2,59.951339825059875,
