n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(18)_final(6).mov,resources/videos_natural\training(22).mov,False,False,right,0,0,0,0,2018-09-19 15:01:46.960494,2018-09-19 15:01:51.681764,0:00:04.721270,1,left,0,1.6515025388657705,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(17)_final(2).mov,resources/videos_natural\training(32).mov,False,True,left,0,1,1,1,2018-09-19 15:01:54.449922,2018-09-19 15:01:58.370147,0:00:03.920225,1,left,1,0.6007459989518793,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(19)_final(8).mov,resources/videos_natural\training(4).mov,True,True,left,0,2,2,2,2018-09-19 15:02:00.088245,2018-09-19 15:02:04.008469,0:00:03.920224,1,left,1,0.5173889735510784,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(17)_final(0).mov,resources/videos_natural\training(3).mov,True,False,right,0,3,3,3,2018-09-19 15:02:05.643563,2018-09-19 15:02:09.746797,0:00:04.103234,1,right,1,0.43388949457585113,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(18)_final(0).mov,resources/videos_natural\training(24).mov,False,True,left,0,4,4,4,2018-09-19 15:02:11.297886,2018-09-19 15:02:15.185108,0:00:03.887222,1,left,1,0.45058216228289893,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(17)_final(2).mov,resources/videos_natural\training(36).mov,False,False,right,0,5,5,5,2018-09-19 15:02:16.753198,2018-09-19 15:02:20.823431,0:00:04.070233,1,right,1,0.46733717225106375,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(28)_final(4).mov,resources/videos_natural\training(32).mov,False,False,right,0,6,6,6,2018-09-19 15:02:22.407521,2018-09-19 15:02:26.311745,0:00:03.904224,1,left,0,0.4672757335001734,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(18)_final(4).mov,resources/videos_natural\training(35).mov,True,True,left,0,7,7,7,2018-09-19 15:02:27.895835,2018-09-19 15:02:31.850061,0:00:03.954226,1,left,1,0.43394039236454773,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
9,resources/videos_generated\model(dmp)-dataset(walking)-npsi(60)_final(9).mov,resources/videos_natural\training(45).mov,False,False,right,0,8,8,8,2018-09-19 15:02:33.401150,2018-09-19 15:02:37.354376,0:00:03.953226,1,left,0,0.36721188538649585,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(27)_final(6).mov,resources/videos_natural\training(3).mov,True,True,left,0,9,9,9,2018-09-19 15:02:38.838461,2018-09-19 15:02:42.725684,0:00:03.887223,1,left,1,0.3172293532666117,29,m,2,11,2018_Sep_19_1501,MP_PerceptionTuring2,59.94796678686422,
