n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(17)_final(9).mov,resources/videos_natural\training(7).mov,False,True,left,0,0,0,0,2018-09-19 10:08:14.627868,2018-09-19 10:08:18.865110,0:00:04.237242,1,left,1,2.769261141366769,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(22)_final(9).mov,resources/videos_natural\training(39).mov,True,False,right,0,1,1,1,2018-09-19 10:08:22.751332,2018-09-19 10:08:26.688558,0:00:03.937226,1,right,1,1.2177869146971716,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
3,resources/videos_generated\model(dmp)-dataset(walking)-npsi(60)_final(4).mov,resources/videos_natural\training(16).mov,True,False,right,0,2,2,2,2018-09-19 10:08:29.023691,2018-09-19 10:08:32.960916,0:00:03.937225,1,right,1,2.20215182069569,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(9).mov,resources/videos_natural\training(35).mov,True,False,right,0,3,3,3,2018-09-19 10:08:36.280106,2018-09-19 10:08:40.217331,0:00:03.937225,1,right,1,0.8510615293380397,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(25)_final(5).mov,resources/videos_natural\training(48).mov,True,True,left,0,4,4,4,2018-09-19 10:08:42.185444,2018-09-19 10:08:46.288679,0:00:04.103235,1,left,1,1.468076718395423,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(25)_final(9).mov,resources/videos_natural\training(9).mov,True,False,right,0,5,5,5,2018-09-19 10:08:48.873827,2018-09-19 10:08:52.911057,0:00:04.037230,1,left,0,1.2011362654120603,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(23)_final(0).mov,resources/videos_natural\training(39).mov,True,True,left,0,6,6,6,2018-09-19 10:08:55.230190,2018-09-19 10:08:59.166415,0:00:03.936225,1,right,0,2.4356557484434234,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(21)_final(9).mov,resources/videos_natural\training(26).mov,False,False,right,0,7,7,7,2018-09-19 10:09:02.719618,2018-09-19 10:09:06.689846,0:00:03.970228,1,right,1,3.1696802536835094,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
9,resources/videos_generated\model(tmp)-dataset(walking)-numprim(15)_final(6).mov,resources/videos_natural\training(9).mov,True,True,left,0,8,8,8,2018-09-19 10:09:10.977091,2018-09-19 10:09:14.963319,0:00:03.986228,1,right,0,0.4338884654061985,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(23)_final(8).mov,resources/videos_natural\training(40).mov,True,True,left,0,9,9,9,2018-09-19 10:09:16.514407,2018-09-19 10:09:20.551638,0:00:04.037231,1,right,0,0.7509136835233221,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
11,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(28)_final(0).mov,resources/videos_natural\training(19).mov,False,False,right,0,10,10,10,2018-09-19 10:09:22.419745,2018-09-19 10:09:26.339969,0:00:03.920224,1,right,1,0.8175584448754307,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
12,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(25)_final(6).mov,resources/videos_natural\training(31).mov,False,False,right,0,11,11,11,2018-09-19 10:09:28.275080,2018-09-19 10:09:32.178303,0:00:03.903223,1,right,1,0.20036496141528914,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
13,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(8).mov,resources/videos_natural\training(25).mov,False,False,right,0,12,12,12,2018-09-19 10:09:33.497379,2018-09-19 10:09:37.549611,0:00:04.052232,1,right,1,1.117851998176775,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
14,resources/videos_generated\model(dmp)-dataset(walking)-npsi(100)_final(4).mov,resources/videos_natural\training(4).mov,False,False,right,0,13,13,13,2018-09-19 10:09:39.784738,2018-09-19 10:09:43.671961,0:00:03.887223,1,right,1,3.0361723805708607,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
15,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(22)_final(4).mov,resources/videos_natural\training(32).mov,True,True,left,0,14,14,14,2018-09-19 10:09:47.825198,2018-09-19 10:09:51.762424,0:00:03.937226,1,left,1,0.5508396552049817,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
16,resources/videos_generated\model(dmp)-dataset(walking)-npsi(80)_final(8).mov,resources/videos_natural\training(48).mov,False,True,left,0,15,15,15,2018-09-19 10:09:53.430519,2018-09-19 10:09:57.433748,0:00:04.003229,1,right,0,1.7183469458495892,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
17,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(22)_final(9).mov,resources/videos_natural\training(27).mov,True,False,right,0,16,16,16,2018-09-19 10:10:00.268910,2018-09-19 10:10:04.373145,0:00:04.104235,1,right,1,0.6674746133767258,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
18,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(23)_final(9).mov,resources/videos_natural\training(1).mov,False,True,left,0,17,17,17,2018-09-19 10:10:06.158247,2018-09-19 10:10:10.078471,0:00:03.920224,1,left,1,0.4172131199375144,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
19,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(28)_final(3).mov,resources/videos_natural\training(14).mov,False,True,left,0,18,18,18,2018-09-19 10:10:11.612559,2018-09-19 10:10:15.665791,0:00:04.053232,1,left,1,0.7008752990268476,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
20,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(23)_final(0).mov,resources/videos_natural\training(3).mov,False,True,left,0,19,19,19,2018-09-19 10:10:17.483895,2018-09-19 10:10:21.388118,0:00:03.904223,1,left,1,0.4005612659620965,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
21,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(28)_final(0).mov,resources/videos_natural\training(41).mov,False,True,left,0,20,20,20,2018-09-19 10:10:22.905205,2018-09-19 10:10:26.809428,0:00:03.904223,1,left,1,0.5005449725040307,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
22,resources/videos_generated\model(tmp)-dataset(walking)-numprim(13)_final(4).mov,resources/videos_natural\training(10).mov,False,True,left,0,21,21,21,2018-09-19 10:10:28.426521,2018-09-19 10:10:32.513754,0:00:04.087233,1,right,0,0.46729939093802386,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
23,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(25)_final(0).mov,resources/videos_natural\training(21).mov,True,True,left,0,22,22,22,2018-09-19 10:10:34.098845,2018-09-19 10:10:38.035070,0:00:03.936225,1,left,1,0.584148483097124,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
24,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(3)_hip-corrected.mov,resources/videos_natural\training(17).mov,False,False,right,0,23,23,23,2018-09-19 10:10:39.737168,2018-09-19 10:10:43.640391,0:00:03.903223,1,right,1,0.5673388144814453,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
25,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(22)_final(3).mov,resources/videos_natural\training(40).mov,True,False,right,0,24,24,24,2018-09-19 10:10:45.325487,2018-09-19 10:10:49.244711,0:00:03.919224,1,right,1,0.5677185936065143,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
26,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(23)_final(5).mov,resources/videos_natural\training(9).mov,True,False,right,0,25,25,25,2018-09-19 10:10:50.929808,2018-09-19 10:10:54.867033,0:00:03.937225,1,right,1,0.5177672481004265,25,m,1,9,2018_Sep_19_1007,MP_PerceptionTuring2,59.965848364039125,
