n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(22)_final(7).mov,resources/videos_natural\training(39).mov,True,True,left,0,0,0,0,2018-12-11 11:07:48.568570,2018-12-11 11:07:53.238837,0:00:04.670267,1,right,0,22.51915593998274,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(22)_final(9).mov,resources/videos_natural\training(4).mov,False,True,left,0,1,1,1,2018-12-11 11:08:16.943193,2018-12-11 11:08:20.862417,0:00:03.919224,1,right,0,1.3680660044934712,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(17)_final(6).mov,resources/videos_natural\training(24).mov,False,False,right,0,2,2,2,2018-12-11 11:08:23.348559,2018-12-11 11:08:27.434793,0:00:04.086234,1,left,0,0.5674124648384122,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(21)_final(8).mov,resources/videos_natural\training(43).mov,False,True,left,0,3,3,3,2018-12-11 11:08:29.186893,2018-12-11 11:08:33.107117,0:00:03.920224,1,right,0,0.48402983995799786,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(23)_final(8).mov,resources/videos_natural\training(15).mov,True,False,right,0,4,4,4,2018-12-11 11:08:34.708209,2018-12-11 11:08:38.778441,0:00:04.070232,1,left,0,1.0344044958709446,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(6).mov,resources/videos_natural\training(42).mov,False,False,right,0,5,5,5,2018-12-11 11:08:40.930565,2018-12-11 11:08:45.033799,0:00:04.103234,1,right,1,0.4838391991278286,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
7,resources/videos_generated\model(dmp)-dataset(walking)-npsi(60)_final(1).mov,resources/videos_natural\training(28).mov,True,False,right,0,6,6,6,2018-12-11 11:08:46.634891,2018-12-11 11:08:50.572116,0:00:03.937225,1,right,1,0.55075864810658,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(21)_final(4).mov,resources/videos_natural\training(23).mov,False,True,left,0,7,7,7,2018-12-11 11:08:52.240211,2018-12-11 11:08:56.327445,0:00:04.087234,1,left,1,0.40056228503965485,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(23)_final(8).mov,resources/videos_natural\training(2).mov,True,True,left,0,8,8,8,2018-12-11 11:08:57.844532,2018-12-11 11:09:01.948767,0:00:04.104235,1,left,1,0.484030743469134,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(25)_final(0).mov,resources/videos_natural\training(33).mov,True,True,left,0,9,9,9,2018-12-11 11:09:03.549858,2018-12-11 11:09:07.637092,0:00:04.087234,1,left,1,2.8527478782548314,24,f,2,24,2018_Dec_11_1106,MP_PerceptionTuring2,59.906001641777856,
