n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(22)_final(5).mov,resources/videos_natural\training(31).mov,False,False,right,0,0,0,0,2018-09-18 09:26:24.945098,2018-09-18 09:26:29.633366,0:00:04.688268,1,left,0,1.6849297369576561,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
2,resources/videos_generated\model(tmp)-dataset(walking)-numprim(11)_final(8).mov,resources/videos_natural\training(9).mov,True,True,left,0,1,1,1,2018-09-18 09:26:32.435526,2018-09-18 09:26:36.388752,0:00:03.953226,1,right,0,1.2012037778808917,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(24)-lvm(25)_final(0).mov,resources/videos_natural\training(3).mov,False,True,left,0,2,2,2,2018-09-18 09:26:38.707885,2018-09-18 09:26:42.661111,0:00:03.953226,1,right,0,0.7341436823496679,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(17)_final(5).mov,resources/videos_natural\training(42).mov,True,False,right,0,3,3,3,2018-09-18 09:26:44.512217,2018-09-18 09:26:48.449442,0:00:03.937225,1,right,1,1.3179693288118415,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(23)_final(5).mov,resources/videos_natural\training(24).mov,False,False,right,0,4,4,4,2018-09-18 09:26:50.884581,2018-09-18 09:26:54.971815,0:00:04.087234,1,right,1,0.600683054349247,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(7).mov,resources/videos_natural\training(34).mov,False,True,left,0,5,5,5,2018-09-18 09:26:56.689913,2018-09-18 09:27:00.610138,0:00:03.920225,1,left,1,1.1678325974739892,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(1)_hip-corrected.mov,resources/videos_natural\training(23).mov,True,True,left,0,6,6,6,2018-09-18 09:27:02.895268,2018-09-18 09:27:06.831494,0:00:03.936226,1,left,1,0.7508197856870993,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(20)_final(3).mov,resources/videos_natural\training(43).mov,True,False,right,0,7,7,7,2018-09-18 09:27:08.699600,2018-09-18 09:27:12.636826,0:00:03.937226,1,right,1,1.551483565134049,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
9,resources/videos_generated\model(tmp)-dataset(walking)-numprim(13)_final(6).mov,resources/videos_natural\training(10).mov,True,False,right,0,8,8,8,2018-09-18 09:27:15.305978,2018-09-18 09:27:19.242203,0:00:03.936225,1,left,0,0.5171733355821289,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(0).mov,resources/videos_natural\training(48).mov,False,False,right,0,9,9,9,2018-09-18 09:27:20.877297,2018-09-18 09:27:24.997533,0:00:04.120236,1,right,1,0.7007779230086726,26,m,1,7,2018_Sep_18_0924,MP_PerceptionTuring2,59.949590331182236,
