n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(20)_final(3).mov,resources/videos_natural\training(8).mov,False,False,right,0,0,0,0,2018-09-17 15:11:45.614019,2018-09-17 15:11:50.085275,0:00:04.471256,1,right,1,8.190321647994324,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(23)_final(1).mov,resources/videos_natural\training(43).mov,False,True,left,0,1,1,1,2018-09-17 15:11:59.476812,2018-09-17 15:12:03.396036,0:00:03.919224,1,right,0,1.2346407059390003,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(17)_final(1).mov,resources/videos_natural\training(7).mov,True,True,left,0,2,2,2,2018-09-17 15:12:05.748171,2018-09-17 15:12:09.852405,0:00:04.104234,1,right,0,6.2389076617275805,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(23)_final(0).mov,resources/videos_natural\training(16).mov,True,True,left,0,3,3,3,2018-09-17 15:12:17.208826,2018-09-17 15:12:21.312061,0:00:04.103235,1,right,0,1.7851090230094542,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(24)_final(2).mov,resources/videos_natural\training(0).mov,True,False,right,0,4,4,4,2018-09-17 15:12:24.214227,2018-09-17 15:12:28.301461,0:00:04.087234,1,left,0,1.101176665461935,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(23)_final(1).mov,resources/videos_natural\training(28).mov,False,True,left,0,5,5,5,2018-09-17 15:12:30.586591,2018-09-17 15:12:34.523817,0:00:03.937226,1,right,0,1.8352593061076732,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
7,resources/videos_generated\model(dmp)-dataset(walking)-npsi(80)_final(8).mov,resources/videos_natural\training(38).mov,True,False,right,0,6,6,6,2018-09-17 15:12:37.475985,2018-09-17 15:12:41.563219,0:00:04.087234,1,right,1,0.4006086616068387,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(25)_final(3).mov,resources/videos_natural\training(23).mov,False,True,left,0,7,7,7,2018-09-17 15:12:43.080306,2018-09-17 15:12:47.000530,0:00:03.920224,1,left,1,0.1837525599323726,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
9,resources/videos_generated\model(dmp)-dataset(walking)-npsi(50)_final(0).mov,resources/videos_natural\training(36).mov,True,True,left,0,8,8,8,2018-09-17 15:12:48.301605,2018-09-17 15:12:52.371837,0:00:04.070232,1,left,1,0.9845102999638584,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
10,resources/videos_generated\model(dmp)-dataset(walking)-npsi(60)_final(6).mov,resources/videos_natural\training(44).mov,False,False,right,0,9,9,9,2018-09-17 15:12:54.473958,2018-09-17 15:12:58.527189,0:00:04.053231,1,right,1,0.41734188651957993,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
11,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(18)_final(9).mov,resources/videos_natural\training(7).mov,False,True,left,0,10,10,10,2018-09-17 15:13:00.062277,2018-09-17 15:13:03.982501,0:00:03.920224,1,right,0,0.48404288639903825,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
12,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(19)_final(3).mov,resources/videos_natural\training(46).mov,False,True,left,0,11,11,11,2018-09-17 15:13:05.583593,2018-09-17 15:13:09.503817,0:00:03.920224,1,left,1,0.7674954824719862,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
13,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(4).mov,resources/videos_natural\training(22).mov,True,True,left,0,12,12,12,2018-09-17 15:13:11.388925,2018-09-17 15:13:15.442157,0:00:04.053232,1,right,0,0.8008553186361951,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
14,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(27)_final(6)_fail.mov,resources/videos_natural\training(14).mov,True,True,left,0,13,13,13,2018-09-17 15:13:17.360267,2018-09-17 15:13:21.480502,0:00:04.120235,1,left,1,0.85088603782674,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
15,resources/videos_generated\model(tmp)-dataset(walking)-numprim(11)_final(6).mov,resources/videos_natural\training(45).mov,True,False,right,0,14,14,14,2018-09-17 15:13:23.448615,2018-09-17 15:13:27.602852,0:00:04.154237,1,left,0,0.5673024334419097,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
16,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(27)_final(2).mov,resources/videos_natural\training(10).mov,False,True,left,0,15,15,15,2018-09-17 15:13:29.286949,2018-09-17 15:13:33.357182,0:00:04.070233,1,right,0,0.7175123479098602,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
17,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(28)_final(9).mov,resources/videos_natural\training(1).mov,False,False,right,0,16,16,16,2018-09-17 15:13:35.192287,2018-09-17 15:13:39.112511,0:00:03.920224,1,right,1,0.8843630285507516,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
18,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(1).mov,resources/videos_natural\training(22).mov,True,False,right,0,17,17,17,2018-09-17 15:13:41.114625,2018-09-17 15:13:45.050850,0:00:03.936225,1,right,1,0.9176502830982827,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
19,resources/videos_generated\model(tmp)-dataset(walking)-numprim(13)_final(0).mov,resources/videos_natural\training(31).mov,True,True,left,0,18,18,18,2018-09-17 15:13:47.085967,2018-09-17 15:13:51.156200,0:00:04.070233,1,right,0,0.9176316106493232,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
20,resources/videos_generated\model(tmp)-dataset(walking)-numprim(12)_final(4).mov,resources/videos_natural\training(20).mov,False,True,left,0,19,19,19,2018-09-17 15:13:53.191316,2018-09-17 15:13:57.094539,0:00:03.903223,1,left,1,0.7493913383927975,37,f,1,5,2018_Sep_17_1511,MP_PerceptionTuring2,59.945297478783225,
