n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(19)_final(5).mov,resources/videos_natural\training(38).mov,True,False,right,0,0,0,0,2018-09-19 14:05:27.274187,2018-09-19 14:05:31.895451,0:00:04.621264,1,right,1,1.4334588209783306,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(23)_final(1).mov,resources/videos_natural\training(6).mov,False,True,left,0,1,1,1,2018-09-19 14:05:34.447597,2018-09-19 14:05:38.366821,0:00:03.919224,1,left,1,1.0344562971707774,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(28)_final(6).mov,resources/videos_natural\training(29).mov,True,False,right,0,2,2,2,2018-09-19 14:05:40.585948,2018-09-19 14:05:44.506173,0:00:03.920225,1,left,0,1.601595299333212,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(17)_final(3).mov,resources/videos_natural\training(21).mov,True,True,left,0,3,3,3,2018-09-19 14:05:47.224328,2018-09-19 14:05:51.128551,0:00:03.904223,1,right,0,0.9010733711201624,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(24)_final(1).mov,resources/videos_natural\training(12).mov,False,True,left,0,4,4,4,2018-09-19 14:05:53.146667,2018-09-19 14:05:57.249901,0:00:04.103234,1,left,1,1.1012134153319835,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
6,resources/videos_generated\model(dmp)-dataset(walking)-npsi(50)_final(2).mov,resources/videos_natural\training(35).mov,False,True,left,0,5,5,5,2018-09-19 14:05:59.469028,2018-09-19 14:06:03.539261,0:00:04.070233,1,left,1,1.184653563748725,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(22)_final(3).mov,resources/videos_natural\training(27).mov,False,False,right,0,6,6,6,2018-09-19 14:06:05.841393,2018-09-19 14:06:09.760617,0:00:03.919224,1,right,1,0.15027135448349327,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(23)_final(7).mov,resources/videos_natural\training(41).mov,True,True,left,0,7,7,7,2018-09-19 14:06:11.028690,2018-09-19 14:06:15.115923,0:00:04.087233,1,left,1,1.0844433468458874,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(21)_final(7).mov,resources/videos_natural\training(13).mov,False,False,right,0,8,8,8,2018-09-19 14:06:17.317049,2018-09-19 14:06:21.221273,0:00:03.904224,1,right,1,0.4007194959613116,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(24)_final(3).mov,resources/videos_natural\training(22).mov,False,False,right,0,9,9,9,2018-09-19 14:06:22.738359,2018-09-19 14:06:26.642583,0:00:03.904224,1,right,1,0.7675711816117428,21,f,1,10,2018_Sep_19_1404,MP_PerceptionTuring2,59.941473488847386,
