n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(20)_final(2).mov,resources/videos_natural\training(17).mov,False,False,right,0,0,0,0,2018-09-19 10:47:40.389182,2018-09-19 10:47:44.710429,0:00:04.321247,1,right,1,0.7842300407392031,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(21)_final(0).mov,resources/videos_natural\training(6).mov,True,False,right,0,1,1,1,2018-09-19 10:47:46.611537,2018-09-19 10:47:50.531762,0:00:03.920225,1,left,0,0.45064542875115876,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(22)_final(2).mov,resources/videos_natural\training(28).mov,True,False,right,0,2,2,2,2018-09-19 10:47:52.099851,2018-09-19 10:47:56.003075,0:00:03.903224,1,right,1,0.483932271015874,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(24)-lvm(23)_final(9).mov,resources/videos_natural\training(36).mov,False,True,left,0,3,3,3,2018-09-19 10:47:57.604166,2018-09-19 10:48:01.541391,0:00:03.937225,1,right,0,0.6340889863749908,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(5).mov,resources/videos_natural\training(25).mov,True,True,left,0,4,4,4,2018-09-19 10:48:03.292492,2018-09-19 10:48:07.179714,0:00:03.887222,1,left,1,0.3006417092656193,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(18)_final(8).mov,resources/videos_natural\training(16).mov,False,False,right,0,5,5,5,2018-09-19 10:48:08.596795,2018-09-19 10:48:12.501018,0:00:03.904223,1,right,1,0.3505813090241645,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(3)_fail.mov,resources/videos_natural\training(11).mov,True,False,right,0,6,6,6,2018-09-19 10:48:13.968102,2018-09-19 10:48:17.888326,0:00:03.920224,1,right,1,0.267183499575367,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
8,resources/videos_generated\model(tmp)-dataset(walking)-numprim(15)_final(7).mov,resources/videos_natural\training(18).mov,True,False,right,0,7,7,7,2018-09-19 10:48:19.273406,2018-09-19 10:48:23.176629,0:00:03.903223,1,left,0,0.33389903657825926,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(0).mov,resources/videos_natural\training(36).mov,False,True,left,0,8,8,8,2018-09-19 10:48:24.627712,2018-09-19 10:48:28.547936,0:00:03.920224,1,right,0,0.35048041607660707,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(7).mov,resources/videos_natural\training(48).mov,False,True,left,0,9,9,9,2018-09-19 10:48:30.016020,2018-09-19 10:48:33.936244,0:00:03.920224,1,right,0,0.38376153605440777,25,m,2,9,2018_Sep_19_1047,MP_PerceptionTuring2,59.953613087041276,
