n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(0).mov,resources/videos_natural\training(23).mov,True,False,right,0,0,0,0,2018-09-17 09:22:21.760806,2018-09-17 09:22:27.122113,0:00:05.361307,1,left,0,12.860947843319309,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(27)_final(3)_fail.mov,resources/videos_natural\training(23).mov,True,True,left,0,1,1,1,2018-09-17 09:22:41.093912,2018-09-17 09:22:45.031137,0:00:03.937225,1,left,1,0.5340316469803383,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(19)_final(6).mov,resources/videos_natural\training(34).mov,False,True,left,0,2,2,2,2018-09-17 09:22:46.682232,2018-09-17 09:22:50.602456,0:00:03.920224,1,left,1,0.4838328745504441,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
4,resources/videos_generated\model(tmp)-dataset(walking)-numprim(11)_final(9).mov,resources/videos_natural\training(11).mov,True,False,right,0,3,3,3,2018-09-17 09:22:52.203547,2018-09-17 09:22:56.273780,0:00:04.070233,1,right,1,0.5007282299013696,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(22)_final(6)_fail.mov,resources/videos_natural\training(11).mov,False,True,left,0,4,4,4,2018-09-17 09:22:57.958877,2018-09-17 09:23:01.862100,0:00:03.903223,1,left,1,0.5173221137340533,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(18)_final(6).mov,resources/videos_natural\training(22).mov,True,False,right,0,5,5,5,2018-09-17 09:23:03.497193,2018-09-17 09:23:07.533424,0:00:04.036231,1,right,1,0.5173311488442778,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
7,resources/videos_generated\model(dmp)-dataset(walking)-npsi(90)_final(1).mov,resources/videos_natural\training(31).mov,True,True,left,0,6,6,6,2018-09-17 09:23:09.168518,2018-09-17 09:23:13.255752,0:00:04.087234,1,left,1,0.3672025491059685,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(18)_final(6).mov,resources/videos_natural\training(34).mov,False,False,right,0,7,7,7,2018-09-17 09:23:14.739836,2018-09-17 09:23:18.660061,0:00:03.920225,1,right,1,0.550782139393732,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(17)_final(2).mov,resources/videos_natural\training(38).mov,False,False,right,0,8,8,8,2018-09-17 09:23:20.328156,2018-09-17 09:23:24.381388,0:00:04.053232,1,right,1,0.48398677259820033,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
10,resources/videos_generated\model(dmp)-dataset(walking)-npsi(80)_final(1).mov,resources/videos_natural\training(23).mov,False,False,right,0,9,9,9,2018-09-17 09:23:25.982479,2018-09-17 09:23:30.002709,0:00:04.020230,1,left,0,0.4506348670936404,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
11,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(19)_final(2).mov,resources/videos_natural\training(40).mov,True,True,left,0,10,10,10,2018-09-17 09:23:31.570799,2018-09-17 09:23:35.658033,0:00:04.087234,1,right,0,0.5340090592039815,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
12,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(23)_final(6).mov,resources/videos_natural\training(39).mov,False,False,right,0,11,11,11,2018-09-17 09:23:37.309127,2018-09-17 09:23:41.379360,0:00:04.070233,1,left,0,0.5009029087032104,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
13,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(20)_final(8).mov,resources/videos_natural\training(39).mov,True,True,left,0,12,12,12,2018-09-17 09:23:42.997453,2018-09-17 09:23:46.917677,0:00:03.920224,1,left,1,0.38385245062318063,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
14,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(9).mov,resources/videos_natural\training(2).mov,True,True,left,0,13,13,13,2018-09-17 09:23:48.418763,2018-09-17 09:23:52.471995,0:00:04.053232,1,left,1,0.25041290454714726,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
15,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(17)_final(4).mov,resources/videos_natural\training(26).mov,True,False,right,0,14,14,14,2018-09-17 09:23:53.840073,2018-09-17 09:23:57.893305,0:00:04.053232,1,right,1,0.5172621808346776,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
16,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(17)_final(6).mov,resources/videos_natural\training(20).mov,True,True,left,0,15,15,15,2018-09-17 09:23:59.528398,2018-09-17 09:24:03.431621,0:00:03.903223,1,left,1,0.4671832742035349,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
17,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(22)_final(0).mov,resources/videos_natural\training(32).mov,True,True,left,0,16,16,16,2018-09-17 09:24:05.016712,2018-09-17 09:24:09.119947,0:00:04.103235,1,left,1,0.5173968039803185,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
18,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(19)_final(6).mov,resources/videos_natural\training(10).mov,False,False,right,0,17,17,17,2018-09-17 09:24:10.755040,2018-09-17 09:24:14.858275,0:00:04.103235,1,right,1,0.3672284497556575,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
19,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(17)_final(8).mov,resources/videos_natural\training(37).mov,False,True,left,0,18,18,18,2018-09-17 09:24:16.343360,2018-09-17 09:24:20.379591,0:00:04.036231,1,right,0,0.934286135924367,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
20,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(24)_final(6).mov,resources/videos_natural\training(10).mov,False,True,left,0,19,19,19,2018-09-17 09:24:22.431708,2018-09-17 09:24:26.351932,0:00:03.920224,1,left,1,0.8842761973028246,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
21,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(27)_final(2).mov,resources/videos_natural\training(21).mov,False,True,left,0,20,20,20,2018-09-17 09:24:28.353047,2018-09-17 09:24:32.457282,0:00:04.104235,1,left,1,0.5838681114812516,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
22,resources/videos_generated\model(dmp)-dataset(walking)-npsi(50)_final(1).mov,resources/videos_natural\training(12).mov,True,False,right,0,21,21,21,2018-09-17 09:24:34.158379,2018-09-17 09:24:38.245613,0:00:04.087234,1,left,0,0.6674886609364421,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
23,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(23)_final(2).mov,resources/videos_natural\training(9).mov,False,False,right,0,22,22,22,2018-09-17 09:24:40.029715,2018-09-17 09:24:44.133949,0:00:04.104234,1,right,1,0.5507505165071507,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
24,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(25)_final(6).mov,resources/videos_natural\training(14).mov,False,True,left,0,23,23,23,2018-09-17 09:24:45.802045,2018-09-17 09:24:49.872278,0:00:04.070233,1,left,1,0.7675772050185969,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
25,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(17)_final(8).mov,resources/videos_natural\training(43).mov,False,False,right,0,24,24,24,2018-09-17 09:24:51.756385,2018-09-17 09:24:55.860620,0:00:04.104235,1,right,1,0.8675753979964611,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
26,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(21)_final(2).mov,resources/videos_natural\training(35).mov,True,True,left,0,25,25,25,2018-09-17 09:24:57.845734,2018-09-17 09:25:01.781959,0:00:03.936225,1,left,1,0.7341566326747397,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
27,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(22)_final(2).mov,resources/videos_natural\training(46).mov,True,False,right,0,26,26,26,2018-09-17 09:25:03.634065,2018-09-17 09:25:07.771301,0:00:04.137236,1,left,0,0.5840442961348344,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
28,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(23)_final(2).mov,resources/videos_natural\training(6).mov,False,True,left,0,27,27,27,2018-09-17 09:25:09.472399,2018-09-17 09:25:13.592634,0:00:04.120235,1,right,0,0.8009209789240685,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
29,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(23)_final(8).mov,resources/videos_natural\training(45).mov,True,False,right,0,28,28,28,2018-09-17 09:25:15.510744,2018-09-17 09:25:19.563976,0:00:04.053232,1,right,1,0.48397623163623393,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
30,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(18)_final(2).mov,resources/videos_natural\training(24).mov,False,False,right,0,29,29,29,2018-09-17 09:25:21.166068,2018-09-17 09:25:25.086292,0:00:03.920224,1,right,1,0.5340373692167759,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
31,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(23)_final(2).mov,resources/videos_natural\training(19).mov,True,True,left,0,30,30,30,2018-09-17 09:25:26.737386,2018-09-17 09:25:30.690612,0:00:03.953226,1,left,1,0.36742330697074976,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
32,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(17)_final(2).mov,resources/videos_natural\training(30).mov,False,True,left,0,31,31,31,2018-09-17 09:25:32.175697,2018-09-17 09:25:36.261931,0:00:04.086234,1,left,1,0.550702630421938,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
33,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(19)_final(0).mov,resources/videos_natural\training(1).mov,False,False,right,0,32,32,32,2018-09-17 09:25:37.930026,2018-09-17 09:25:42.050262,0:00:04.120236,1,right,1,1.0344821978208074,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
34,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(4).mov,resources/videos_natural\training(26).mov,False,False,right,0,33,33,33,2018-09-17 09:25:44.202385,2018-09-17 09:25:48.138610,0:00:03.936225,1,right,1,0.3672540492354983,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
35,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(23)_final(9).mov,resources/videos_natural\training(5).mov,False,False,right,0,34,34,34,2018-09-17 09:25:49.623695,2018-09-17 09:25:53.576921,0:00:03.953226,1,right,1,0.3672004409133933,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
36,resources/videos_generated\model(tmp)-dataset(walking)-numprim(11)_final(7).mov,resources/videos_natural\training(2).mov,True,True,left,0,35,35,35,2018-09-17 09:25:55.062006,2018-09-17 09:25:58.982231,0:00:03.920225,1,left,1,0.5840177931440849,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
37,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(20)_final(2).mov,resources/videos_natural\training(11).mov,True,True,left,0,36,36,36,2018-09-17 09:26:00.683328,2018-09-17 09:26:04.586551,0:00:03.903223,1,left,1,0.4507008233997567,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
38,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(23)_final(0).mov,resources/videos_natural\training(40).mov,True,False,right,0,37,37,37,2018-09-17 09:26:06.154641,2018-09-17 09:26:10.074865,0:00:03.920224,1,right,1,0.4670146188086619,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
39,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(8)_hip-corrected.mov,resources/videos_natural\training(48).mov,False,True,left,0,38,38,38,2018-09-17 09:26:11.658956,2018-09-17 09:26:15.746189,0:00:04.087233,1,left,1,0.35044693679651573,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
40,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(17)_final(2).mov,resources/videos_natural\training(38).mov,False,True,left,0,39,39,39,2018-09-17 09:26:17.214273,2018-09-17 09:26:21.317508,0:00:04.103235,1,right,0,0.36733416054789814,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
41,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(24)_final(2).mov,resources/videos_natural\training(27).mov,True,False,right,0,40,40,40,2018-09-17 09:26:22.802593,2018-09-17 09:26:26.888827,0:00:04.086234,1,right,1,0.2838078774116184,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
42,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(22)_final(1).mov,resources/videos_natural\training(46).mov,False,True,left,0,41,41,41,2018-09-17 09:26:28.290907,2018-09-17 09:26:32.327138,0:00:04.036231,1,left,1,0.5008146657912675,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
43,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(19)_final(8).mov,resources/videos_natural\training(2).mov,False,True,left,0,42,42,42,2018-09-17 09:26:33.945230,2018-09-17 09:26:37.848454,0:00:03.903224,1,right,0,0.45054391364828916,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
44,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(3).mov,resources/videos_natural\training(3).mov,True,True,left,0,43,43,43,2018-09-17 09:26:39.416543,2018-09-17 09:26:43.520778,0:00:04.104235,1,right,0,0.6006448057148646,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
45,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(18)_final(8).mov,resources/videos_natural\training(5).mov,True,True,left,0,44,44,44,2018-09-17 09:26:45.238876,2018-09-17 09:26:49.292108,0:00:04.053232,1,left,1,0.4339807491915053,26,f,2,2,2018_Sep_17_0921,MP_PerceptionTuring2,59.93671263100265,
