n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(21)_final(3).mov,resources/videos_natural\training(22).mov,False,True,left,0,0,0,0,2018-11-02 15:10:55.106684,2018-11-02 15:10:59.743950,0:00:04.637266,1,right,0,3.1527927402635214,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(17)_final(7).mov,resources/videos_natural\training(41).mov,False,True,left,0,1,1,1,2018-11-02 15:11:04.014194,2018-11-02 15:11:07.951419,0:00:03.937225,1,left,1,0.8343914073889209,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(20)_final(1).mov,resources/videos_natural\training(36).mov,False,False,right,0,2,2,2,2018-11-02 15:11:09.902531,2018-11-02 15:11:13.855757,0:00:03.953226,1,right,1,0.584018629412185,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
4,resources/videos_generated\model(tmp)-dataset(walking)-numprim(12)_final(4).mov,resources/videos_natural\training(17).mov,True,True,left,0,3,3,3,2018-11-02 15:11:15.557854,2018-11-02 15:11:19.644088,0:00:04.086234,1,left,1,0.8675172218754597,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(17)_final(3).mov,resources/videos_natural\training(13).mov,False,True,left,0,4,4,4,2018-11-02 15:11:21.629201,2018-11-02 15:11:25.716435,0:00:04.087234,1,left,1,0.6674001254687028,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(7).mov,resources/videos_natural\training(39).mov,True,False,right,0,5,5,5,2018-11-02 15:11:27.501537,2018-11-02 15:11:31.571770,0:00:04.070233,1,right,1,0.5840517585393172,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(8).mov,resources/videos_natural\training(23).mov,False,True,left,0,6,6,6,2018-11-02 15:11:33.272867,2018-11-02 15:11:37.343100,0:00:04.070233,1,right,0,0.6842417691441369,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(17)_final(5).mov,resources/videos_natural\training(35).mov,False,False,right,0,7,7,7,2018-11-02 15:11:39.144203,2018-11-02 15:11:43.248438,0:00:04.104235,1,left,0,0.6007328765326747,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(17)_final(9).mov,resources/videos_natural\training(46).mov,False,True,left,0,8,8,8,2018-11-02 15:11:44.966536,2018-11-02 15:11:49.052770,0:00:04.086234,1,left,1,0.5339553979547418,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(22)_final(5).mov,resources/videos_natural\training(33).mov,True,False,right,0,9,9,9,2018-11-02 15:11:50.704864,2018-11-02 15:11:54.791098,0:00:04.086234,1,right,1,0.5173384299987447,24,m,1,21,2018_Nov_02_1509,MP_PerceptionTuring2,59.950834530955156,
