n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(20)_final(7).mov,resources/videos_natural\training(4).mov,False,True,left,0,0,0,0,2018-09-19 16:18:30.102779,2018-09-19 16:18:34.340021,0:00:04.237242,1,right,0,1.0342870394342754,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
2,resources/videos_generated\model(tmp)-dataset(walking)-numprim(12)_final(6).mov,resources/videos_natural\training(35).mov,False,True,left,0,1,1,1,2018-09-19 16:18:36.491144,2018-09-19 16:18:40.378366,0:00:03.887222,1,right,0,0.9511950439409702,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(27)_final(2)_hip-corrected.mov,resources/videos_natural\training(34).mov,False,True,left,0,2,2,2,2018-09-19 16:18:42.446485,2018-09-19 16:18:46.366709,0:00:03.920224,1,right,0,0.2502840036377165,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(22)_final(8).mov,resources/videos_natural\training(1).mov,False,False,right,0,3,3,3,2018-09-19 16:18:47.734787,2018-09-19 16:18:51.655011,0:00:03.920224,1,right,1,0.2671576747234212,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(3)_hip-corrected.mov,resources/videos_natural\training(13).mov,False,True,left,0,4,4,4,2018-09-19 16:18:53.039091,2018-09-19 16:18:56.959315,0:00:03.920224,1,left,1,0.48400122877501417,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(25)_final(8).mov,resources/videos_natural\training(42).mov,False,False,right,0,5,5,5,2018-09-19 16:18:58.560406,2018-09-19 16:19:02.480631,0:00:03.920225,1,right,1,0.6842680657027813,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(18)_final(1).mov,resources/videos_natural\training(47).mov,True,False,right,0,6,6,6,2018-09-19 16:19:04.281734,2018-09-19 16:19:08.218959,0:00:03.937225,1,left,0,0.45049482288231957,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(20)_final(5).mov,resources/videos_natural\training(29).mov,False,False,right,0,7,7,7,2018-09-19 16:19:09.787048,2018-09-19 16:19:13.707273,0:00:03.920225,1,right,1,0.617493479661789,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(23)-lvm(22)_final(1).mov,resources/videos_natural\training(9).mov,False,False,right,0,8,8,8,2018-09-19 16:19:15.441372,2018-09-19 16:19:19.345595,0:00:03.904223,1,right,1,0.16704594052498578,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(23)_final(1).mov,resources/videos_natural\training(4).mov,False,True,left,0,9,9,9,2018-09-19 16:19:20.629669,2018-09-19 16:19:24.549893,0:00:03.920224,1,left,1,1.7350854420274118,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
11,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(24)_final(7).mov,resources/videos_natural\training(16).mov,False,True,left,0,10,10,10,2018-09-19 16:19:27.402056,2018-09-19 16:19:31.322280,0:00:03.920224,1,left,1,0.36723537667421624,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
12,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(24)_final(7).mov,resources/videos_natural\training(42).mov,False,True,left,0,11,11,11,2018-09-19 16:19:32.806365,2018-09-19 16:19:36.726589,0:00:03.920224,1,right,0,0.48401990133606887,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
13,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(19)_final(9).mov,resources/videos_natural\training(26).mov,False,False,right,0,12,12,12,2018-09-19 16:19:38.327681,2018-09-19 16:19:42.231904,0:00:03.904223,1,right,1,0.4006107734658144,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
14,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(27)_final(1).mov,resources/videos_natural\training(44).mov,False,True,left,0,13,13,13,2018-09-19 16:19:43.748991,2018-09-19 16:19:47.653214,0:00:03.904223,1,right,0,0.3338241406108864,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
15,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(23)_final(1).mov,resources/videos_natural\training(28).mov,False,False,right,0,14,14,14,2018-09-19 16:19:49.104297,2018-09-19 16:19:53.040522,0:00:03.936225,1,right,1,0.5174871550843818,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
16,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(22)_final(0).mov,resources/videos_natural\training(13).mov,True,False,right,0,15,15,15,2018-09-19 16:19:54.675616,2018-09-19 16:19:58.595840,0:00:03.920224,1,left,0,1.568147621657772,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
17,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(23)_final(5).mov,resources/videos_natural\training(38).mov,True,False,right,0,16,16,16,2018-09-19 16:20:01.280994,2018-09-19 16:20:05.185217,0:00:03.904223,1,left,0,0.3171817683523841,20,f,1,12,2018_Sep_19_1617,MP_PerceptionTuring2,59.958792076494305,
