n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(1).mov,resources/videos_natural\training(30).mov,True,True,left,0,0,0,0,2018-10-09 17:04:39.065805,2018-10-09 17:04:43.569063,0:00:04.503258,1,left,1,3.620034207329809,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(20)_final(8).mov,resources/videos_natural\training(5).mov,False,True,left,0,1,1,1,2018-10-09 17:04:48.390339,2018-10-09 17:04:52.343565,0:00:03.953226,1,left,1,0.550826857843731,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
3,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(7).mov,resources/videos_natural\training(9).mov,True,True,left,0,2,2,2,2018-10-09 17:04:54.011660,2018-10-09 17:04:57.931884,0:00:03.920224,1,right,0,0.5506389253391717,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(22)_final(0).mov,resources/videos_natural\training(40).mov,False,True,left,0,3,3,3,2018-10-09 17:04:59.599980,2018-10-09 17:05:03.503203,0:00:03.903223,1,right,0,1.6849998238130866,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
5,resources/videos_generated\model(dmp)-dataset(walking)-npsi(90)_final(1).mov,resources/videos_natural\training(11).mov,False,False,right,0,4,4,4,2018-10-09 17:05:06.305363,2018-10-09 17:05:10.392597,0:00:04.087234,1,right,1,0.4672959795393581,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(19)_final(6).mov,resources/videos_natural\training(28).mov,True,True,left,0,5,5,5,2018-10-09 17:05:11.977688,2018-10-09 17:05:16.047921,0:00:04.070233,1,left,1,0.3671131971086652,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(27)_final(1)_fail.mov,resources/videos_natural\training(33).mov,False,False,right,0,6,6,6,2018-10-09 17:05:17.532006,2018-10-09 17:05:21.585237,0:00:04.053231,1,right,1,0.43416745448757865,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
8,resources/videos_generated\model(dmp)-dataset(walking)-npsi(90)_final(7).mov,resources/videos_natural\training(10).mov,True,False,right,0,7,7,7,2018-10-09 17:05:23.137326,2018-10-09 17:05:27.223560,0:00:04.086234,1,left,0,0.5174086035140135,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(26)_final(4).mov,resources/videos_natural\training(28).mov,True,False,right,0,8,8,8,2018-10-09 17:05:28.858653,2018-10-09 17:05:32.778878,0:00:03.920225,1,right,1,0.7176238826073131,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(3)_fail.mov,resources/videos_natural\training(48).mov,True,False,right,0,9,9,9,2018-10-09 17:05:34.612982,2018-10-09 17:05:38.533207,0:00:03.920225,1,left,0,1.96868634878183,21,f,2,15,2018_Oct_09_1703,MP_PerceptionTuring2,59.91902739032799,
