n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(24)-lvm(27)_final(3).mov,resources/videos_natural\training(6).mov,False,False,right,0,0,0,0,2018-11-02 12:13:10.163862,2018-11-02 12:13:14.768125,0:00:04.604263,1,right,1,2.7692703616553445,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(23)_final(6).mov,resources/videos_natural\training(6).mov,True,True,left,0,1,1,1,2018-11-02 12:13:18.654347,2018-11-02 12:13:22.591573,0:00:03.937226,1,left,1,0.6507646284104567,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(22)_final(0).mov,resources/videos_natural\training(22).mov,False,False,right,0,2,2,2,2018-11-02 12:13:24.359674,2018-11-02 12:13:28.913934,0:00:04.554260,1,left,0,0.41735516904589076,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(25)_final(3).mov,resources/videos_natural\training(43).mov,False,False,right,0,3,3,3,2018-11-02 12:13:30.448022,2018-11-02 12:13:34.335244,0:00:03.887222,1,right,1,0.40059107852709985,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(23)_final(0).mov,resources/videos_natural\training(0).mov,True,False,right,0,4,4,4,2018-11-02 12:13:35.853331,2018-11-02 12:13:39.839559,0:00:03.986228,1,right,1,1.7519744028603554,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(22)_final(7).mov,resources/videos_natural\training(24).mov,True,False,right,0,5,5,5,2018-11-02 12:13:42.708723,2018-11-02 12:13:46.778956,0:00:04.070233,1,left,0,2.4689993979587825,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(17)_final(0).mov,resources/videos_natural\training(26).mov,False,False,right,0,6,6,6,2018-11-02 12:13:50.365161,2018-11-02 12:13:54.285385,0:00:03.920224,1,left,0,0.3506828002051634,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(27)_final(6).mov,resources/videos_natural\training(38).mov,False,False,right,0,7,7,7,2018-11-02 12:13:55.753469,2018-11-02 12:13:59.656693,0:00:03.903224,1,left,0,0.6841440308928668,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(22)_final(5).mov,resources/videos_natural\training(30).mov,True,False,right,0,8,8,8,2018-11-02 12:14:01.458796,2018-11-02 12:14:05.395021,0:00:03.936225,1,left,0,0.46738180763532,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(22)_final(5).mov,resources/videos_natural\training(13).mov,True,False,right,0,9,9,9,2018-11-02 12:14:06.980111,2018-11-02 12:14:10.916337,0:00:03.936226,1,right,1,0.4339409662354683,23,m,2,20,2018_Nov_02_1212,MP_PerceptionTuring2,59.93157373197858,
