n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(28)_final(2).mov,resources/videos_natural\training(46).mov,True,False,right,0,0,0,0,2018-12-10 15:58:21.165640,2018-12-10 15:58:25.819906,0:00:04.654266,1,left,0,2.118773587491205,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(17)_final(5).mov,resources/videos_natural\training(25).mov,True,False,right,0,1,1,1,2018-12-10 15:58:29.122095,2018-12-10 15:58:33.076321,0:00:03.954226,1,left,0,0.7008060292421305,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
3,resources/videos_generated\model(dmp)-dataset(walking)-npsi(50)_final(2).mov,resources/videos_natural\training(21).mov,True,True,left,0,2,2,2,2018-12-10 15:58:34.894425,2018-12-10 15:58:38.964658,0:00:04.070233,1,left,1,0.483745242596342,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(23)_final(0).mov,resources/videos_natural\training(24).mov,False,False,right,0,3,3,3,2018-12-10 15:58:40.565750,2018-12-10 15:58:44.635982,0:00:04.070232,1,left,0,0.5340992563737927,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(27)_final(1).mov,resources/videos_natural\training(20).mov,False,False,right,0,4,4,4,2018-12-10 15:58:46.287077,2018-12-10 15:58:50.374311,0:00:04.087234,1,right,1,0.45069873636850843,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(23)_final(1).mov,resources/videos_natural\training(13).mov,False,False,right,0,5,5,5,2018-12-10 15:58:52.009404,2018-12-10 15:58:55.962630,0:00:03.953226,1,right,1,0.5171097874893462,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(26)_final(5).mov,resources/videos_natural\training(1).mov,True,True,left,0,6,6,6,2018-12-10 15:58:57.596724,2018-12-10 15:59:01.650956,0:00:04.054232,1,left,1,0.48403436865555705,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(25)_final(2).mov,resources/videos_natural\training(27).mov,True,True,left,0,7,7,7,2018-12-10 15:59:03.252047,2018-12-10 15:59:07.205273,0:00:03.953226,1,right,0,0.317109245377992,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(18)_final(3).mov,resources/videos_natural\training(46).mov,False,False,right,0,8,8,8,2018-12-10 15:59:08.640355,2018-12-10 15:59:12.743590,0:00:04.103235,1,right,1,0.434030920225041,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(19)_final(5).mov,resources/videos_natural\training(30).mov,False,True,left,0,9,9,9,2018-12-10 15:59:14.294679,2018-12-10 15:59:18.381913,0:00:04.087234,1,right,0,0.41722004691666825,22,f,1,23,2018_Dec_10_1557,MP_PerceptionTuring2,59.96043390873272,
