n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(dmp)-dataset(walking)-npsi(70)_final(8).mov,resources/videos_natural\training(16).mov,True,True,left,0,0,0,0,2018-09-21 15:10:19.490782,2018-09-21 15:10:23.895034,0:00:04.404252,1,left,1,14.99561280001069,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(19)_final(1).mov,resources/videos_natural\training(42).mov,False,True,left,0,1,1,1,2018-09-21 15:10:40.074959,2018-09-21 15:10:43.995183,0:00:03.920224,1,left,1,0.500606714792184,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(19)_final(5).mov,resources/videos_natural\training(24).mov,True,True,left,0,2,2,2,2018-09-21 15:10:45.613276,2018-09-21 15:10:49.549501,0:00:03.936225,1,left,1,0.6007937136577084,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
4,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(4).mov,resources/videos_natural\training(14).mov,True,False,right,0,3,3,3,2018-09-21 15:10:51.267599,2018-09-21 15:10:55.154822,0:00:03.887223,1,right,1,0.6507129839976642,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
5,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(27)_final(9).mov,resources/videos_natural\training(13).mov,True,True,left,0,4,4,4,2018-09-21 15:10:56.922923,2018-09-21 15:11:00.843147,0:00:03.920224,1,right,0,0.46729537719170366,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
6,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(20)_final(1).mov,resources/videos_natural\training(46).mov,False,False,right,0,5,5,5,2018-09-21 15:11:02.427238,2018-09-21 15:11:06.364463,0:00:03.937225,1,left,0,0.350515203107193,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(21)_final(9).mov,resources/videos_natural\training(9).mov,True,False,right,0,6,6,6,2018-09-21 15:11:07.831547,2018-09-21 15:11:11.835776,0:00:04.004229,1,right,1,0.8509276607433094,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(20)_final(7).mov,resources/videos_natural\training(27).mov,True,True,left,0,7,7,7,2018-09-21 15:11:13.804888,2018-09-21 15:11:17.924124,0:00:04.119236,1,left,1,0.31713610138240256,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(3).mov,resources/videos_natural\training(10).mov,True,False,right,0,8,8,8,2018-09-21 15:11:19.358206,2018-09-21 15:11:23.262429,0:00:03.904223,1,right,1,0.4506582305853044,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
10,resources/videos_generated\model(dmp)-dataset(walking)-npsi(90)_final(8).mov,resources/videos_natural\training(35).mov,True,False,right,0,9,9,9,2018-09-21 15:11:24.829519,2018-09-21 15:11:28.916753,0:00:04.087234,1,right,1,0.38386147687845096,29,m,1,11,2018_Sep_21_1509,MP_PerceptionTuring2,59.94044481349798,
