n_trial,mov_file_generated,mov_file_natural,mirrored,switch_stim_pos,correct_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_onset,stimulus_off,stimulus_length,block,response.keys,response.corr,response.rt,age,gender,condition,participant,date,expName,frameRate,
1,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(17)_final(6).mov,resources/videos_natural\training(16).mov,True,False,right,0,0,0,0,2018-09-17 11:22:27.226957,2018-09-17 11:22:31.897224,0:00:04.670267,1,right,1,0.41719831066552615,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
2,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(21)_final(4).mov,resources/videos_natural\training(39).mov,True,True,left,0,1,1,1,2018-09-17 11:22:33.432312,2018-09-17 11:22:37.352536,0:00:03.920224,1,left,1,0.150447797694369,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
3,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(23)_final(8).mov,resources/videos_natural\training(26).mov,True,False,right,0,2,2,2,2018-09-17 11:22:38.619608,2018-09-17 11:22:42.522832,0:00:03.903224,1,right,1,0.3839094604471711,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
4,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(20)_final(6).mov,resources/videos_natural\training(27).mov,False,False,right,0,3,3,3,2018-09-17 11:22:44.024918,2018-09-17 11:22:47.995145,0:00:03.970227,1,right,1,0.8175580908219899,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
5,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(9).mov,resources/videos_natural\training(48).mov,True,True,left,0,4,4,4,2018-09-17 11:22:49.929255,2018-09-17 11:22:54.033490,0:00:04.104235,1,right,0,0.3005064810723752,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
6,resources/videos_generated\model(dmp)-dataset(walking)-npsi(80)_final(9).mov,resources/videos_natural\training(27).mov,True,True,left,0,5,5,5,2018-09-17 11:22:55.451571,2018-09-17 11:22:59.354794,0:00:03.903223,1,right,0,0.3505417031460638,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
7,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(18)_final(2).mov,resources/videos_natural\training(33).mov,True,False,right,0,6,6,6,2018-09-17 11:23:00.822878,2018-09-17 11:23:04.726102,0:00:03.903224,1,right,1,0.30046823221925933,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
8,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(27)-lvm(26)_final(2).mov,resources/videos_natural\training(46).mov,True,False,right,0,7,7,7,2018-09-17 11:23:06.144183,2018-09-17 11:23:10.063407,0:00:03.919224,1,right,1,0.28380769440423137,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
9,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(23)_final(4)_fail.mov,resources/videos_natural\training(19).mov,True,True,left,0,8,8,8,2018-09-17 11:23:11.465487,2018-09-17 11:23:15.368710,0:00:03.903223,1,left,1,0.3173419998609006,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
10,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(24)-lvm(17)_final(2).mov,resources/videos_natural\training(35).mov,True,True,left,0,9,9,9,2018-09-17 11:23:16.802792,2018-09-17 11:23:20.873025,0:00:04.070233,1,left,1,0.3337603953305006,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
11,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(22)_final(5).mov,resources/videos_natural\training(33).mov,False,False,right,0,10,10,10,2018-09-17 11:23:22.324108,2018-09-17 11:23:26.244332,0:00:03.920224,1,right,1,0.28364445914166936,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
12,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(21)_final(0).mov,resources/videos_natural\training(31).mov,False,False,right,0,11,11,11,2018-09-17 11:23:27.645412,2018-09-17 11:23:31.565637,0:00:03.920225,1,right,1,0.300507083416619,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
13,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(28)-lvm(17)_final(2).mov,resources/videos_natural\training(4).mov,True,True,left,0,12,12,12,2018-09-17 11:23:32.983718,2018-09-17 11:23:36.869940,0:00:03.886222,1,left,1,0.3172968240502314,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
14,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(26)-lvm(25)_final(2).mov,resources/videos_natural\training(24).mov,True,True,left,0,13,13,13,2018-09-17 11:23:38.305022,2018-09-17 11:23:42.208245,0:00:03.903223,1,left,1,0.4007597366672826,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
15,resources/videos_generated\model(tmp)-dataset(walking)-numprim(12)_final(1).mov,resources/videos_natural\training(27).mov,False,True,left,0,14,14,14,2018-09-17 11:23:43.726332,2018-09-17 11:23:47.629556,0:00:03.903224,1,right,0,0.267223051951305,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
16,resources/videos_generated\model(dmp)-dataset(walking)-npsi(90)_final(3).mov,resources/videos_natural\training(22).mov,False,False,right,0,15,15,15,2018-09-17 11:23:49.013635,2018-09-17 11:23:53.100868,0:00:04.087233,1,right,1,0.384233521596002,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
17,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(25)-lvm(18)_final(4).mov,resources/videos_natural\training(33).mov,True,True,left,0,16,16,16,2018-09-17 11:23:54.601954,2018-09-17 11:23:58.505178,0:00:03.903224,1,left,1,1.184753404825642,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
18,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(5).mov,resources/videos_natural\training(32).mov,False,True,left,0,17,17,17,2018-09-17 11:24:00.807309,2018-09-17 11:24:04.877542,0:00:04.070233,1,right,0,0.3338844782239221,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
19,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(18)_final(8).mov,resources/videos_natural\training(25).mov,True,True,left,0,18,18,18,2018-09-17 11:24:06.328625,2018-09-17 11:24:10.332854,0:00:04.004229,1,left,1,0.26702367604002575,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
20,resources/videos_generated\model(tmp)-dataset(walking)-numprim(14)_final(1).mov,resources/videos_natural\training(26).mov,True,False,right,0,19,19,19,2018-09-17 11:24:11.716933,2018-09-17 11:24:15.637157,0:00:03.920224,1,left,0,0.2672113062404833,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
21,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(24)_final(6).mov,resources/videos_natural\training(4).mov,True,False,right,0,20,20,20,2018-09-17 11:24:17.021237,2018-09-17 11:24:20.958462,0:00:03.937225,1,right,1,0.26719775349738484,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
22,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(22)-lvm(27)_final(5)_fail.mov,resources/videos_natural\training(41).mov,False,True,left,0,21,21,21,2018-09-17 11:24:22.342541,2018-09-17 11:24:26.429775,0:00:04.087234,1,left,1,0.3340974068782998,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
23,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(24)_final(2).mov,resources/videos_natural\training(22).mov,False,True,left,0,22,22,22,2018-09-17 11:24:27.880858,2018-09-17 11:24:31.818083,0:00:03.937225,1,left,1,0.25051101371207096,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
24,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(25)-lvm(26)_final(3)_fail.mov,resources/videos_natural\training(14).mov,True,True,left,0,23,23,23,2018-09-17 11:24:33.185161,2018-09-17 11:24:37.255394,0:00:04.070233,1,left,1,0.4005446998082789,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
25,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(22)-lvm(21)_final(6).mov,resources/videos_natural\training(6).mov,False,True,left,0,24,24,24,2018-09-17 11:24:38.773481,2018-09-17 11:24:42.843714,0:00:04.070233,1,left,1,0.46727690151760726,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
26,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(28)_final(9).mov,resources/videos_natural\training(29).mov,False,False,right,0,25,25,25,2018-09-17 11:24:44.428804,2018-09-17 11:24:48.532039,0:00:04.103235,1,left,0,0.4173196830104189,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
27,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(26)-lvm(21)_final(4).mov,resources/videos_natural\training(25).mov,False,False,right,0,26,26,26,2018-09-17 11:24:50.067127,2018-09-17 11:24:53.987351,0:00:03.920224,1,left,0,0.36763382053948135,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
28,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(23)-lvm(26)_final(2).mov,resources/videos_natural\training(21).mov,False,False,right,0,27,27,27,2018-09-17 11:24:55.471436,2018-09-17 11:24:59.558670,0:00:04.087234,1,left,0,0.3837525497980323,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
29,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(1)-dyn(28)-lvm(25)_final(2).mov,resources/videos_natural\training(19).mov,True,True,left,0,28,28,28,2018-09-17 11:25:01.059755,2018-09-17 11:25:04.962979,0:00:03.903224,1,right,0,1.0011727640459185,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
30,resources/videos_generated\model(vcgpdm)-dataset(walking)-mode(ELBO)-parts(2)-dyn(27)-lvm(22)_final(4).mov,resources/videos_natural\training(34).mov,True,True,left,0,29,29,29,2018-09-17 11:25:07.081100,2018-09-17 11:25:11.185335,0:00:04.104235,1,left,1,0.3341365592476677,31,m,2,4,2018_Sep_17_1121,MP_PerceptionTuring2,59.94784021666371,
