trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
269,vgpdm_dyn(30)-lvm(5)_final(3).mov,False,left,1,training(35).mov,0,109,109,143,,,,,,,,12:05:10:576,12:05:11:320,12:05:14:340,right,12:05:15:407,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
270,training(40).mov,False,right,1,vcgpdm_dyn(20)-lvm(30)_final(7).mov,0,110,110,83,,,,,,,,12:05:16:157,12:05:16:909,12:05:19:910,right,12:05:20:327,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
271,training(6).mov,True,right,1,vgpdm_dyn(25)-lvm(35)_final(7).mov,0,111,111,76,,,,,,,,12:05:21:085,12:05:21:828,12:05:24:831,left,12:05:25:131,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
272,training(30).mov,True,right,1,vcgpdm_dyn(30)-lvm(15)_final(9).mov,0,112,112,121,,,,,,,,12:05:25:891,12:05:26:632,12:05:29:634,right,12:05:30:268,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
273,training(11).mov,True,right,1,vcgpdm_dyn(20)-lvm(35)_final(7).mov,0,113,113,133,,,,,,,,12:05:31:027,12:05:31:786,12:05:34:758,right,12:05:35:092,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
274,vgpdm_dyn(35)-lvm(35)_final(9).mov,True,left,1,training(40).mov,0,114,114,81,,,,,,,,12:05:35:854,12:05:36:593,12:05:39:596,left,12:05:40:546,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
275,training(19).mov,True,right,1,vgpdm_dyn(5)-lvm(10)_final(9).mov,0,115,115,127,,,,,,,,12:05:41:292,12:05:42:047,12:05:45:050,right,12:05:45:567,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
276,training(2).mov,True,right,1,vgpdm_dyn(20)-lvm(30)_final(6).mov,0,116,116,53,,,,,,,,12:05:46:315,12:05:47:085,12:05:50:070,right,12:05:50:804,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
277,vcgpdm_dyn(15)-lvm(30)_final(8).mov,True,left,1,training(24).mov,0,117,117,139,,,,,,,,12:05:51:552,12:05:52:306,12:05:55:309,right,12:05:55:743,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
278,dmp_npsi(15)_final(2).mov,False,left,1,training(15).mov,0,118,118,137,,,,,,,,12:05:56:496,12:05:57:244,12:06:00:246,left,12:06:00:697,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
279,vcgpdm_dyn(10)-lvm(5)_final(0).mov,True,left,1,training(8).mov,0,119,119,107,,,,,,,,12:06:01:438,12:06:02:198,12:06:05:200,right,12:06:05:851,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
280,vgpdm_dyn(15)-lvm(25)_final(8).mov,True,left,1,training(32).mov,0,120,120,111,,,,,,,,12:06:06:789,12:06:07:352,12:06:10:354,left,12:06:10:837,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
281,vgpdm_dyn(30)-lvm(30)_final(1).mov,True,left,1,training(4).mov,0,121,121,61,,,,,,,,12:06:11:601,12:06:12:355,12:06:15:341,left,12:06:15:708,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
282,training(31).mov,False,right,1,vcgpdm_dyn(30)-lvm(35)_final(4).mov,0,122,122,152,,,,,,,,12:06:16:478,12:06:17:209,12:06:20:197,right,12:06:20:530,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
283,training(1).mov,True,right,1,vgpdm_dyn(15)-lvm(5)_final(0).mov,0,123,123,132,,,,,,,,12:06:21:283,12:06:22:032,12:06:25:034,left,12:06:25:701,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
284,vgpdm_dyn(25)-lvm(5)_final(5).mov,False,left,1,training(18).mov,0,124,124,138,,,,,,,,12:06:26:456,12:06:27:203,12:06:30:222,left,12:06:30:689,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
285,vgpdm_dyn(10)-lvm(30)_final(4).mov,True,left,1,training(19).mov,0,125,125,86,,,,,,,,12:06:31:445,12:06:32:207,12:06:35:210,left,12:06:35:610,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
286,training(38).mov,False,right,1,vgpdm_dyn(20)-lvm(5)_final(3).mov,0,126,126,15,,,,,,,,12:06:36:401,12:06:37:111,12:06:40:114,right,12:06:40:448,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
287,training(29).mov,False,right,1,vgpdm_dyn(30)-lvm(30)_final(0).mov,0,127,127,112,,,,,,,,12:06:41:201,12:06:41:965,12:06:44:952,left,12:06:45:369,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
288,vcgpdm_dyn(10)-lvm(15)_final(7).mov,True,left,1,training(39).mov,0,128,128,6,,,,,,,,12:06:46:126,12:06:46:870,12:06:49:873,right,12:06:50:507,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
289,training(34).mov,True,right,1,vgpdm_dyn(30)-lvm(20)_final(9).mov,0,129,129,102,,,,,,,,12:06:51:262,12:06:52:008,12:06:55:027,right,12:06:55:344,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
290,training(10).mov,True,right,1,vgpdm_dyn(35)-lvm(10)_final(8).mov,0,130,130,64,,,,,,,,12:06:56:102,12:06:56:845,12:06:59:846,right,12:07:00:246,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
291,vgpdm_dyn(25)-lvm(20)_final(8).mov,True,left,1,training(31).mov,0,131,131,34,,,,,,,,12:07:00:997,12:07:01:748,12:07:04:751,left,12:07:05:068,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
292,training(22).mov,False,right,1,vgpdm_dyn(25)-lvm(5)_final(5).mov,0,132,132,48,,,,,,,,12:07:05:821,12:07:06:569,12:07:09:571,left,12:07:10:138,,,2018_Jun_06_1139,59.8982021669,MP-Perception Experiment,xx12w20,
