trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,106.90689138,,,,,,,,,,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
,,,,,,,,,,,,,space,12.4955255121,,,,,,,,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
,,,,,,,,,,,,,,,space,8.45726693933,,,,,,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
1,training(39).webm,True,right,0,vgpdm_dyn(25)-lvm(5)_final(9).webm,0,0,0,21,,,,,,,,16:40:51:689,16:40:52:313,16:40:55:300,left,16:40:56:117,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
2,tmp_numprim(6)_final(7).webm,False,left,0,training(38).webm,0,1,1,43,,,,,,,,16:40:56:798,16:40:57:619,16:41:00:621,right,16:41:01:172,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
3,vcgpdm_dyn(20)-lvm(35)_final(2).webm,False,left,0,training(48).webm,0,2,2,118,,,,,,,,16:41:01:855,16:41:02:673,16:41:05:692,right,16:41:06:126,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
4,vgpdm_dyn(30)-lvm(35)_final(5).webm,True,left,0,training(32).webm,0,3,3,140,,,,,,,,16:41:06:809,16:41:07:627,16:41:10:629,left,16:41:11:130,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
5,training(12).webm,False,right,0,vgpdm_dyn(5)-lvm(30)_final(6).webm,0,4,4,111,,,,,,,,16:41:29:958,16:41:30:681,16:41:33:683,right,16:41:34:217,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
6,vcgpdm_dyn(30)-lvm(30)_final(7).webm,True,left,0,training(33).webm,0,5,5,148,,,,,,,,16:41:34:904,16:41:35:718,16:41:38:721,left,16:41:45:359,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
7,training(0).webm,False,right,0,vcgpdm_dyn(15)-lvm(15)_final(6).webm,0,6,6,79,,,,,,,,16:41:46:043,16:41:46:860,16:41:49:864,left,16:41:50:364,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
8,vcgpdm_dyn(30)-lvm(30)_final(8).webm,False,left,0,training(9).webm,0,7,7,78,,,,,,,,16:41:51:210,16:41:51:865,16:41:54:868,left,16:41:55:251,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
9,vcgpdm_dyn(5)-lvm(10)_final(9).webm,False,left,0,training(9).webm,0,8,8,27,,,,,,,,16:41:55:953,16:41:56:753,16:41:59:755,left,16:42:00:606,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
10,vcgpdm_dyn(35)-lvm(35)_final(7)_bad.webm,True,left,0,training(40).webm,0,9,9,36,,,,,,,,16:42:01:456,16:42:02:107,16:42:05:109,left,16:42:05:776,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
11,vgpdm_dyn(35)-lvm(10)_final(9).webm,True,left,0,training(25).webm,0,10,10,29,,,,,,,,16:42:06:466,16:42:07:277,16:42:10:279,right,16:42:10:913,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
12,training(27).webm,False,right,0,dmp_npsi(20)_final(3).webm,0,11,11,121,,,,,,,,16:42:11:761,16:42:12:414,16:42:15:402,right,16:42:16:136,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
13,training(48).webm,True,right,0,dmp_npsi(30)_final(9).webm,0,12,12,94,,,,,,,,16:42:16:813,16:42:17:637,16:42:20:640,right,16:42:21:190,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
14,vcgpdm_dyn(25)-lvm(5)_final(7).webm,True,left,0,training(34).webm,0,13,13,39,,,,,,,,16:42:21:876,16:42:22:692,16:42:25:695,right,16:42:27:446,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
15,vcgpdm_dyn(15)-lvm(5)_final(2).webm,False,left,0,training(28).webm,0,14,14,61,,,,,,,,16:42:28:295,16:42:28:947,16:42:31:950,right,16:42:32:400,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
16,vgpdm_dyn(35)-lvm(10)_final(3).webm,True,left,0,training(5).webm,0,15,15,120,,,,,,,,16:42:33:220,16:42:33:901,16:42:36:904,right,16:42:37:387,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
17,vcgpdm_dyn(25)-lvm(15)_final(2).webm,False,left,0,training(2).webm,0,16,16,7,,,,,,,,16:42:38:070,16:42:38:889,16:42:41:892,left,16:42:42:576,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
18,vgpdm_dyn(15)-lvm(5)_final(7).webm,False,left,0,training(20).webm,0,17,17,127,,,,,,,,16:42:43:431,16:42:44:077,16:42:47:080,left,16:42:47:630,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
19,vgpdm_dyn(5)-lvm(30)_final(3).webm,False,left,0,training(27).webm,0,18,18,156,,,,,,,,16:42:48:398,16:42:49:131,16:42:52:134,left,16:42:52:616,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
20,training(35).webm,False,right,0,tmp_numprim(5)_final(0).webm,0,19,19,107,,,,,,,,16:42:53:465,16:42:54:117,16:42:57:119,right,16:42:57:604,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
21,vcgpdm_dyn(30)-lvm(15)_final(6).webm,True,left,0,training(36).webm,0,20,20,98,,,,,,,,16:42:58:455,16:42:59:105,16:43:02:108,right,16:43:02:541,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
22,training(36).webm,True,right,0,vgpdm_dyn(10)-lvm(30)_final(3).webm,0,21,21,82,,,,,,,,16:43:03:384,16:43:04:042,16:43:07:030,right,16:43:07:580,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
23,vgpdm_dyn(15)-lvm(25)_final(5).webm,False,left,0,training(27).webm,0,22,22,124,,,,,,,,16:43:08:304,16:43:09:082,16:43:12:084,right,16:43:12:651,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
24,vcgpdm_dyn(10)-lvm(15)_final(1).webm,False,left,0,training(6).webm,0,23,23,129,,,,,,,,16:43:13:503,16:43:14:152,16:43:17:156,right,16:43:17:589,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
25,training(11).webm,True,right,0,dmp_npsi(45)_final(2).webm,0,24,24,50,,,,,,,,16:43:18:438,16:43:19:091,16:43:22:093,right,16:43:22:460,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
26,vcgpdm_dyn(10)-lvm(10)_final(5).webm,True,left,0,training(27).webm,0,25,25,2,,,,,,,,16:43:23:268,16:43:23:961,16:43:26:964,left,16:43:27:598,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
27,vcgpdm_dyn(20)-lvm(20)_final(5).webm,False,left,0,training(12).webm,0,26,26,137,,,,,,,,16:43:28:441,16:43:29:115,16:43:32:101,right,16:43:32:453,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
28,training(16).webm,False,right,0,vcgpdm_dyn(5)-lvm(10)_final(9).webm,0,27,27,53,,,,,,,,16:43:33:296,16:43:33:954,16:43:36:956,right,16:43:37:373,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
29,dmp_npsi(15)_final(6).webm,False,left,0,training(29).webm,0,28,28,142,,,,,,,,16:43:38:198,16:43:38:874,16:43:41:877,left,16:43:42:426,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
30,vcgpdm_dyn(20)-lvm(25)_final(1).webm,False,left,0,training(0).webm,0,29,29,74,,,,,,,,16:43:43:168,16:43:43:927,16:43:46:929,left,16:43:47:513,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
31,dmp_npsi(35)_final(4).webm,True,left,0,training(15).webm,0,30,30,93,,,,,,,,16:43:48:289,16:43:49:014,16:43:52:018,left,16:43:52:435,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
32,vcgpdm_dyn(10)-lvm(25)_final(4).webm,True,left,0,training(23).webm,0,31,31,55,,,,,,,,16:43:53:280,16:43:53:936,16:43:56:923,left,16:43:57:424,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
33,training(21).webm,True,right,0,vcgpdm_dyn(15)-lvm(30)_final(8).webm,0,32,32,92,,,,,,,,16:43:58:109,16:43:58:925,16:44:01:927,right,16:44:01:977,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
34,tmp_numprim(10)_final(3).webm,False,left,0,training(28).webm,0,33,33,59,,,,,,,,16:44:02:669,16:44:03:479,16:44:06:481,right,16:44:07:149,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
35,vcgpdm_dyn(10)-lvm(25)_final(3).webm,True,left,0,training(36).webm,0,34,34,115,,,,,,,,16:44:07:832,16:44:08:650,16:44:11:653,left,16:44:12:203,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
36,training(48).webm,False,right,0,vcgpdm_dyn(5)-lvm(20)_final(1).webm,0,35,35,88,,,,,,,,16:44:12:881,16:44:13:704,16:44:16:707,right,16:44:17:274,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
37,vgpdm_dyn(20)-lvm(35)_final(2).webm,True,left,0,training(48).webm,0,36,36,28,,,,,,,,16:44:17:954,16:44:18:775,16:44:21:778,left,16:44:22:211,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
38,vgpdm_dyn(15)-lvm(5)_final(6).webm,True,left,0,training(31).webm,0,37,37,66,,,,,,,,16:44:22:895,16:44:23:712,16:44:26:716,left,16:44:27:383,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
39,vgpdm_dyn(10)-lvm(20)_final(2).webm,True,left,0,training(24).webm,0,38,38,144,,,,,,,,16:44:28:208,16:44:28:884,16:44:31:887,left,16:44:33:070,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
40,tmp_numprim(6)_final(3).webm,False,left,0,training(18).webm,0,39,39,1,,,,,,,,16:44:33:751,16:44:34:570,16:44:37:573,right,16:44:37:957,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
41,training(21).webm,False,right,0,vcgpdm_dyn(5)-lvm(20)_final(6).webm,0,40,40,151,,,,,,,,16:44:38:632,16:44:39:458,16:44:42:461,right,16:44:42:978,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
42,vgpdm_dyn(25)-lvm(5)_final(0).webm,False,left,0,training(48).webm,0,41,41,63,,,,,,,,16:44:43:763,16:44:44:481,16:44:47:467,left,16:44:48:752,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
43,training(32).webm,True,right,0,vcgpdm_dyn(30)-lvm(25)_final(4).webm,0,42,42,62,,,,,,,,16:44:49:429,16:44:50:253,16:44:53:255,left,16:44:53:789,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
44,vcgpdm_dyn(15)-lvm(30)_final(3).webm,True,left,0,training(12).webm,0,43,43,14,,,,,,,,16:44:54:461,16:44:55:290,16:44:58:293,right,16:44:58:793,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
45,vgpdm_dyn(10)-lvm(35)_final(3).webm,True,left,0,training(41).webm,0,44,44,56,,,,,,,,16:44:59:613,16:45:00:295,16:45:03:298,left,16:45:03:865,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
46,vcgpdm_dyn(10)-lvm(20)_final(1).webm,True,left,0,training(19).webm,0,45,45,10,,,,,,,,16:45:04:737,16:45:05:366,16:45:08:368,left,16:45:09:286,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
47,training(27).webm,True,right,0,vgpdm_dyn(15)-lvm(30)_final(5).webm,0,46,46,69,,,,,,,,16:45:09:962,16:45:10:787,16:45:13:789,right,16:45:14:373,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
48,training(36).webm,True,right,0,vcgpdm_dyn(20)-lvm(30)_final(2).webm,0,47,47,18,,,,,,,,16:45:15:100,16:45:15:874,16:45:18:878,right,16:45:19:461,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
49,vcgpdm_dyn(15)-lvm(20)_final(4).webm,False,left,0,training(38).webm,0,48,48,54,,,,,,,,16:45:20:233,16:45:20:963,16:45:23:963,right,16:45:24:380,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
50,training(34).webm,False,right,0,vcgpdm_dyn(25)-lvm(30)_final(8).webm,0,49,49,77,,,,,,,,16:45:25:225,16:45:25:882,16:45:28:884,right,16:45:29:468,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
51,dmp_npsi(35)_final(8).webm,True,left,0,training(33).webm,0,50,50,81,,,,,,,,16:45:30:247,16:45:30:986,16:45:33:972,left,16:45:34:541,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
52,training(33).webm,False,right,0,vcgpdm_dyn(20)-lvm(15)_final(0).webm,0,51,51,67,,,,,,,,16:45:35:352,16:45:36:043,16:45:39:045,right,16:45:39:562,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
53,vgpdm_dyn(10)-lvm(35)_final(7).webm,True,left,0,training(29).webm,0,52,52,30,,,,,,,,16:45:40:410,16:45:41:063,16:45:44:066,left,16:45:44:533,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
54,vgpdm_dyn(25)-lvm(20)_final(6).webm,False,left,0,training(24).webm,0,53,53,51,,,,,,,,16:45:45:211,16:45:46:034,16:45:49:037,left,16:45:49:637,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
55,tmp_numprim(9)_final(9).webm,True,left,0,training(8).webm,0,54,54,49,,,,,,,,16:45:50:401,16:45:51:138,16:45:54:142,right,16:45:54:775,,2013_Jan_03_1638,59.9158387075,MP-Perception Experiment,xx24w24,
