trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
,,,,,,,,,,space,0,84.9580671451,,,,,,,,,,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
,,,,,,,,,,,,,space,12.3441797387,,,,,,,,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
,,,,,,,,,,,,,,,space,13.4452488486,,,,,,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
1,training(3).mov,False,right,0,map_gpdm_final(4).mov,0,0,0,42,,,,,,,,11:38:54:715,11:38:54:715,11:38:57:587,right,11:39:00:306,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
2,training(16).mov,False,right,0,vgpdm_dyn(10)-lvm(35)_final(7).mov,0,1,1,29,,,,,,,,11:39:01:067,11:39:01:807,11:39:04:811,right,11:39:06:362,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
3,vgpdm_dyn(25)-lvm(30)_final(3).mov,True,left,0,training(4).mov,0,2,2,64,,,,,,,,11:39:07:310,11:39:07:863,11:39:10:866,left,11:39:12:117,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
4,training(33).mov,False,right,0,vcgpdm_dyn(30)-lvm(25)_final(8).mov,0,3,3,22,,,,,,,,11:39:12:879,11:39:13:635,11:39:16:620,right,11:39:18:288,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
5,training(41).mov,True,right,0,vcgpdm_dyn(30)-lvm(20)_final(6).mov,0,4,4,82,,,,,,,,11:39:19:216,11:39:19:806,11:39:22:793,left,11:39:24:478,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
6,vcgpdm_dyn(5)-lvm(20)_final(5).mov,False,left,0,training(34).mov,0,5,5,8,,,,,,,,11:39:25:416,11:39:25:979,11:39:28:981,left,11:39:30:283,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
7,training(12).mov,True,right,0,vgpdm_dyn(30)-lvm(35)_final(6).mov,0,6,6,113,,,,,,,,11:39:31:045,11:39:31:798,11:39:34:784,left,11:39:37:370,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
8,training(41).mov,True,right,0,vgpdm_dyn(15)-lvm(10)_final(8)_out_of_screen.mov,0,7,7,85,,,,,,,,11:39:38:308,11:39:38:871,11:39:41:874,right,11:39:43:311,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
9,vgpdm_dyn(35)-lvm(10)_final(7).mov,False,left,0,training(20).mov,0,8,8,115,,,,,,,,11:39:44:080,11:39:44:828,11:39:47:814,right,11:39:49:199,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
10,vcgpdm_dyn(15)-lvm(20)_final(7).mov,False,left,0,training(2).mov,0,9,9,51,,,,,,,,11:39:49:952,11:39:50:700,11:39:53:702,right,11:39:55:954,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
11,training(7).mov,False,right,0,vcgpdm_dyn(25)-lvm(10)_final(5).mov,0,10,10,44,,,,,,,,11:39:56:889,11:39:57:456,11:40:00:459,right,11:40:01:960,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
12,training(24).mov,False,right,0,vcgpdm_dyn(10)-lvm(10)_final(6).mov,0,11,11,28,,,,,,,,11:40:02:721,11:40:03:461,11:40:06:464,left,11:40:07:798,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
13,training(3).mov,False,right,0,vcgpdm_dyn(15)-lvm(25)_final(9).mov,0,12,12,88,,,,,,,,11:40:08:561,11:40:09:316,11:40:12:301,left,11:40:14:054,,,2018_Jun_07_1137,59.9600907979,MP-Perception Experiment,xx14w26,
