trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,108.659041291,,,,,,,,,,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
,,,,,,,,,,,,,space,16.0153257432,,,,,,,,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
,,,,,,,,,,,,,,,space,10.3924019105,,,,,,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
1,vcgpdm_dyn(15)-lvm(15)_final(0).mov,True,left,0,training(18).mov,0,0,0,53,,,,,,,,16:29:37:081,16:29:37:687,16:29:40:672,left,16:29:40:839,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
2,training(34).mov,False,right,0,vgpdm_dyn(20)-lvm(5)_final(6).mov,0,1,1,63,,,,,,,,16:29:41:625,16:29:42:340,16:29:45:343,right,16:29:46:044,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
3,vcgpdm_dyn(30)-lvm(10)_final(1).mov,True,left,0,training(23).mov,0,2,2,3,,,,,,,,16:29:46:832,16:29:47:544,16:29:50:545,right,16:29:52:380,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
4,training(9).mov,False,right,0,vgpdm_dyn(10)-lvm(30)_final(2).mov,0,3,3,60,,,,,,,,16:29:53:153,16:29:53:881,16:29:56:885,right,16:29:57:535,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
5,training(11).mov,False,right,0,vcgpdm_dyn(35)-lvm(10)_final(7).mov,0,4,4,71,,,,,,,,16:29:58:313,16:29:59:036,16:30:02:039,right,16:30:03:724,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
6,dmp_npsi(20)_final(7).mov,True,left,0,training(2).mov,0,5,5,35,,,,,,,,16:30:04:501,16:30:05:227,16:30:08:245,left,16:30:08:946,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
7,vcgpdm_dyn(35)-lvm(10)_final(5).mov,False,left,0,training(10).mov,0,6,6,81,,,,,,,,16:30:09:705,16:30:10:447,16:30:13:451,right,16:30:14:268,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
8,training(23).mov,True,right,0,vcgpdm_dyn(35)-lvm(5)_final(2).mov,0,7,7,132,,,,,,,,16:30:15:051,16:30:15:786,16:30:18:789,left,16:30:19:639,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
9,vgpdm_dyn(25)-lvm(30)_final(6).mov,True,left,0,training(28).mov,0,8,8,5,,,,,,,,16:30:20:404,16:30:21:140,16:30:24:143,right,16:30:25:778,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
10,vcgpdm_dyn(15)-lvm(10)_final(0).mov,True,left,0,training(14).mov,0,9,9,149,,,,,,,,16:30:26:556,16:30:27:279,16:30:30:282,right,16:30:31:033,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
11,vcgpdm_dyn(20)-lvm(15)_final(4).mov,True,left,0,training(28).mov,0,10,10,117,,,,,,,,16:30:31:798,16:30:32:534,16:30:35:536,left,16:30:36:687,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
12,vgpdm_dyn(30)-lvm(20)_final(9).mov,False,left,0,training(11).mov,0,11,11,122,,,,,,,,16:30:37:458,16:30:38:188,16:30:41:189,right,16:30:41:790,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
13,training(48).mov,False,right,0,vgpdm_dyn(30)-lvm(10)_final(5).mov,0,12,12,111,,,,,,,,16:30:42:564,16:30:43:291,16:30:46:293,right,16:30:46:877,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
14,dmp_npsi(20)_final(7).mov,True,left,0,training(34).mov,0,13,13,55,,,,,,,,16:30:47:659,16:30:48:379,16:30:51:382,left,16:30:51:951,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
15,training(13).mov,True,right,0,dmp_npsi(35)_final(9).mov,0,14,14,95,,,,,,,,16:30:52:737,16:30:53:452,16:30:56:471,left,16:30:57:255,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
16,vgpdm_dyn(35)-lvm(10)_final(4).mov,True,left,0,training(8).mov,0,15,15,99,,,,,,,,16:30:58:026,16:30:58:756,16:31:01:758,left,16:31:02:559,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
17,training(41).mov,False,right,0,vgpdm_dyn(20)-lvm(20)_final(4).mov,0,16,16,158,,,,,,,,16:31:03:367,16:31:04:060,16:31:07:064,left,16:31:07:564,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
18,vcgpdm_dyn(15)-lvm(10)_final(7).mov,True,left,0,training(22).mov,0,17,17,155,,,,,,,,16:31:08:347,16:31:09:082,16:31:12:085,left,16:31:12:702,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
19,training(28).mov,False,right,0,vcgpdm_dyn(10)-lvm(20)_final(9).mov,0,18,18,84,,,,,,,,16:31:13:547,16:31:14:220,16:31:17:205,right,16:31:17:806,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
20,training(48).mov,False,right,0,vcgpdm_dyn(35)-lvm(20)_final(2).mov,0,19,19,51,,,,,,,,16:31:18:609,16:31:19:307,16:31:22:310,right,16:31:22:778,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
21,vgpdm_dyn(30)-lvm(5)_final(9).mov,False,left,0,training(25).mov,0,20,20,127,,,,,,,,16:31:23:556,16:31:24:279,16:31:27:282,left,16:31:28:049,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
22,training(18).mov,True,right,0,tmp_numprim(8)_final(8).mov,0,21,21,69,,,,,,,,16:31:28:830,16:31:29:550,16:31:32:550,left,16:31:32:984,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
23,training(20).mov,False,right,0,vgpdm_dyn(30)-lvm(10)_final(8).mov,0,22,22,13,,,,,,,,16:31:33:793,16:31:34:485,16:31:37:488,right,16:31:38:021,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
24,training(28).mov,False,right,0,tmp_numprim(6)_final(3).mov,0,23,23,100,,,,,,,,16:31:38:827,16:31:39:523,16:31:42:511,right,16:31:42:928,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
25,vgpdm_dyn(20)-lvm(35)_final(8).mov,False,left,0,training(8).mov,0,24,24,70,,,,,,,,16:31:43:714,16:31:44:429,16:31:47:432,left,16:31:47:933,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
26,vcgpdm_dyn(10)-lvm(20)_final(8).mov,True,left,0,training(30).mov,0,25,25,157,,,,,,,,16:31:48:721,16:31:49:433,16:31:52:436,left,16:31:52:953,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
27,training(13).mov,False,right,0,dmp_npsi(35)_final(0).mov,0,26,26,90,,,,,,,,16:31:53:725,16:31:54:454,16:31:57:457,left,16:31:58:041,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
28,training(19).mov,False,right,0,vcgpdm_dyn(20)-lvm(35)_final(1).mov,0,27,27,48,,,,,,,,16:31:58:824,16:31:59:542,16:32:02:545,right,16:32:03:062,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
29,training(30).mov,True,right,0,vcgpdm_dyn(30)-lvm(20)_final(0).mov,0,28,28,52,,,,,,,,16:32:03:839,16:32:04:563,16:32:07:582,left,16:32:08:033,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
30,training(13).mov,True,right,0,vcgpdm_dyn(20)-lvm(30)_final(7).mov,0,29,29,108,,,,,,,,16:32:08:799,16:32:09:534,16:32:12:536,left,16:32:13:604,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
31,training(40).mov,False,right,0,vgpdm_dyn(10)-lvm(10)_final(6).mov,0,30,30,16,,,,,,,,16:32:14:384,16:32:15:106,16:32:18:109,right,16:32:18:709,,2018_May_30_1627,59.9593151659,MP-Perception Experiment,xx06w28,
