trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,35.1814557928,,,,,,,,,,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
,,,,,,,,,,,,,space,35.5466535558,,,,,,,,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
,,,,,,,,,,,,,,,space,6.60571619599,,,,,,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
1,training(2).webm,True,right,0,tmp_numprim(8)_final(6).webm,0,0,0,17,,,,,,,,11:33:36:564,11:33:37:121,11:33:40:107,left,11:33:43:176,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
2,vcgpdm_dyn(5)-lvm(25)_final(2).webm,True,left,0,training(25).webm,0,1,1,77,,,,,,,,11:33:44:023,11:33:44:677,11:33:47:680,left,11:33:49:264,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
3,tmp_numprim(4)_final(5).webm,False,left,0,training(23).webm,0,2,2,70,,,,,,,,11:33:49:950,11:33:50:767,11:33:53:769,left,11:33:54:837,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
4,training(34).webm,True,right,0,vcgpdm_dyn(5)-lvm(25)_final(0).webm,0,3,3,64,,,,,,,,11:33:55:686,11:33:56:338,11:33:59:338,right,11:33:59:789,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
5,training(12).webm,False,right,0,vgpdm_dyn(10)-lvm(30)_final(6).webm,0,4,4,101,,,,,,,,11:34:00:646,11:34:01:290,11:34:04:292,right,11:34:05:076,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
6,vgpdm_dyn(5)-lvm(20)_final(0).webm,False,left,0,training(40).webm,0,5,5,8,,,,,,,,11:34:05:907,11:34:06:578,11:34:09:566,right,11:34:10:233,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
7,dmp_npsi(45)_final(8).webm,False,left,0,training(22).webm,0,6,6,52,,,,,,,,11:34:11:072,11:34:11:734,11:34:14:737,left,11:34:16:188,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
8,tmp_numprim(9)_final(1).webm,False,left,0,training(33).webm,0,7,7,81,,,,,,,,11:34:17:042,11:34:17:689,11:34:20:692,left,11:34:21:709,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
9,training(29).webm,False,right,0,vgpdm_dyn(20)-lvm(15)_final(0).webm,0,8,8,46,,,,,,,,11:34:22:554,11:34:23:210,11:34:26:214,right,11:34:27:365,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
10,tmp_numprim(2)_final(6).webm,True,left,0,training(23).webm,0,9,9,92,,,,,,,,11:34:28:041,11:34:28:866,11:34:31:868,left,11:34:32:769,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
11,vgpdm_dyn(20)-lvm(5)_final(6).webm,False,left,0,training(11).webm,0,10,10,148,,,,,,,,11:34:33:448,11:34:34:270,11:34:37:273,left,11:34:39:541,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
12,training(2).webm,False,right,0,dmp_npsi(30)_final(9).webm,0,11,11,128,,,,,,,,11:34:40:252,11:34:41:042,11:34:44:046,right,11:34:44:396,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
13,training(24).webm,False,right,0,vgpdm_dyn(35)-lvm(35)_final(7).webm,0,12,12,115,,,,,,,,11:34:45:078,11:34:45:897,11:34:48:898,right,11:34:49:499,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
14,training(32).webm,True,right,0,vgpdm_dyn(15)-lvm(5)_final(3).webm,0,13,13,91,,,,,,,,11:34:50:172,11:34:51:000,11:34:54:002,right,11:34:55:637,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
15,dmp_npsi(35)_final(4).webm,True,left,0,training(38).webm,0,14,14,94,,,,,,,,11:34:56:314,11:34:57:138,11:35:00:142,right,11:35:00:759,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
16,training(41).webm,False,right,0,vcgpdm_dyn(35)-lvm(25)_final(2).webm,0,15,15,9,,,,,,,,11:35:01:600,11:35:02:262,11:35:05:247,right,11:35:05:931,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
17,vcgpdm_dyn(20)-lvm(30)_final(3).webm,True,left,0,training(48).webm,0,16,16,45,,,,,,,,11:35:06:671,11:35:07:432,11:35:10:435,left,11:35:11:019,,2013_Jan_05_1132,59.9576734099,MP-Perception Experiment,xx26m21,
