trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
254,vgpdm_dyn(5)-lvm(10)_final(6).webm,False,left,1,training(35).webm,0,94,94,154,,,,,,,,10:48:24:977,10:48:25:711,10:48:28:714,left,10:48:29:464,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
255,vgpdm_dyn(15)-lvm(35)_final(7).webm,True,left,1,training(48).webm,0,95,95,89,,,,,,,,10:48:30:185,10:48:30:965,10:48:33:968,left,10:48:36:522,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
256,vcgpdm_dyn(20)-lvm(5)_final(0).webm,False,left,1,training(18).webm,0,96,96,57,,,,,,,,10:48:37:204,10:48:38:023,10:48:41:026,left,10:48:41:709,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
257,training(32).webm,True,right,1,vgpdm_dyn(30)-lvm(5)_final(2).webm,0,97,97,138,,,,,,,,10:48:42:390,10:48:43:211,10:48:46:214,right,10:49:01:494,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
258,vgpdm_dyn(35)-lvm(30)_final(7).webm,True,left,1,training(18).webm,0,98,98,30,,,,,,,,10:49:02:171,10:49:02:995,10:49:05:998,right,10:49:06:498,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
259,training(8).webm,False,right,1,vgpdm_dyn(30)-lvm(5)_final(1).webm,0,99,99,128,,,,,,,,10:49:07:351,10:49:07:999,10:49:11:002,right,10:49:11:385,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
260,tmp_numprim(10)_final(0).webm,False,left,1,training(4).webm,0,100,100,40,,,,,,,,10:49:12:126,10:49:12:886,10:49:15:887,left,10:49:16:237,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
261,training(13).webm,False,right,1,vcgpdm_dyn(20)-lvm(35)_final(3).webm,0,101,101,141,,,,,,,,10:49:17:080,10:49:17:740,10:49:20:742,right,10:49:21:209,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
262,vcgpdm_dyn(10)-lvm(5)_final(9).webm,True,left,1,training(15).webm,0,102,102,61,,,,,,,,10:49:21:941,10:49:22:710,10:49:25:698,left,10:49:26:115,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
263,vgpdm_dyn(30)-lvm(20)_final(3).webm,True,left,1,training(28).webm,0,103,103,112,,,,,,,,10:49:26:865,10:49:27:616,10:49:30:619,left,10:49:31:386,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
264,training(1).webm,False,right,1,tmp_numprim(4)_final(0).webm,0,104,104,134,,,,,,,,10:49:32:234,10:49:32:887,10:49:35:890,right,10:49:37:725,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
265,training(2).webm,False,right,1,vgpdm_dyn(15)-lvm(15)_final(8).webm,0,105,105,79,,,,,,,,10:49:38:402,10:49:39:226,10:49:42:229,right,10:49:42:746,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
266,vcgpdm_dyn(35)-lvm(20)_final(9).webm,False,left,1,training(30).webm,0,106,106,121,,,,,,,,10:49:43:420,10:49:44:247,10:49:47:250,right,10:49:47:783,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
267,training(29).webm,True,right,1,vgpdm_dyn(10)-lvm(30)_final(8).webm,0,107,107,124,,,,,,,,10:49:48:591,10:49:49:284,10:49:52:287,right,10:49:52:922,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
268,vcgpdm_dyn(15)-lvm(20)_final(5).webm,False,left,1,training(40).webm,0,108,108,7,,,,,,,,10:49:53:701,10:49:54:423,10:49:57:426,left,10:49:58:360,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
269,training(20).webm,False,right,1,dmp_npsi(40)_final(0).webm,0,109,109,19,,,,,,,,10:49:59:041,10:49:59:861,10:50:02:863,right,10:50:09:700,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
270,training(35).webm,False,right,1,dmp_npsi(10)_final(9)_bad.webm,0,110,110,91,,,,,,,,10:50:10:395,10:50:11:202,10:50:14:205,right,10:50:14:622,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
271,training(22).webm,True,right,1,vcgpdm_dyn(20)-lvm(5)_final(3).webm,0,111,111,5,,,,,,,,10:50:15:296,10:50:16:125,10:50:19:111,right,10:50:19:711,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
272,training(25).webm,True,right,1,vcgpdm_dyn(25)-lvm(10)_final(8).webm,0,112,112,21,,,,,,,,10:50:20:559,10:50:21:212,10:50:24:215,right,10:50:36:709,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
273,tmp_numprim(5)_final(6).webm,True,left,1,training(2).webm,0,113,113,22,,,,,,,,10:50:37:386,10:50:38:210,10:50:41:213,left,10:50:42:030,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
274,vgpdm_dyn(5)-lvm(15)_final(4).webm,True,left,1,training(22).webm,0,114,114,136,,,,,,,,10:50:42:711,10:50:43:531,10:50:46:535,left,10:50:48:053,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
275,vgpdm_dyn(30)-lvm(5)_final(2).webm,False,left,1,training(20).webm,0,115,115,69,,,,,,,,10:50:48:730,10:50:49:554,10:50:52:556,right,10:51:00:511,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
276,vgpdm_dyn(20)-lvm(20)_final(2).webm,True,left,1,training(6).webm,0,116,116,137,,,,,,,,10:51:01:236,10:51:02:012,10:51:05:016,right,10:51:07:036,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
277,training(21).webm,False,right,1,dmp_npsi(45)_final(4).webm,0,117,117,151,,,,,,,,10:51:07:717,10:51:08:537,10:51:11:539,right,10:51:12:206,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
278,vgpdm_dyn(10)-lvm(5)_final(1).webm,True,left,1,training(2).webm,0,118,118,93,,,,,,,,10:51:12:957,10:51:13:708,10:51:16:710,left,10:51:49:203,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
279,training(6).webm,False,right,1,map_cgpdm_final(5).webm,0,119,119,103,,,,,,,,10:51:50:050,10:51:50:704,10:51:53:707,right,10:51:55:528,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
280,tmp_numprim(3)_final(1).webm,False,left,1,training(11).webm,0,120,120,127,,,,,,,,10:51:56:204,10:51:57:029,10:52:00:031,left,10:52:00:365,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
281,training(36).webm,True,right,1,vgpdm_dyn(10)-lvm(5)_final(7).webm,0,121,121,65,,,,,,,,10:52:01:047,10:52:01:866,10:52:04:869,left,10:52:08:321,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
282,vcgpdm_dyn(30)-lvm(25)_final(5).webm,False,left,1,training(21).webm,0,122,122,1,,,,,,,,10:52:09:046,10:52:09:823,10:52:12:826,right,10:52:13:527,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
283,training(27).webm,False,right,1,vcgpdm_dyn(5)-lvm(20)_final(1).webm,0,123,123,23,,,,,,,,10:52:14:202,10:52:15:028,10:52:18:030,right,10:52:18:614,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
284,training(13).webm,False,right,1,vgpdm_dyn(25)-lvm(10)_final(8)_out_of_screen.webm,0,124,124,3,,,,,,,,10:52:19:447,10:52:20:115,10:52:23:118,right,10:52:23:535,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
285,vcgpdm_dyn(25)-lvm(35)_final(9).webm,False,left,1,training(10).webm,0,125,125,55,,,,,,,,10:52:24:221,10:52:25:036,10:52:28:038,right,10:52:28:322,,2012_Dec_31_1015,59.9507267311,MP-Perception Experiment,xx22w42,
