trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,59.166869907,,,,,,,,,,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
,,,,,,,,,,,,,space,14.1970743631,,,,,,,,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
,,,,,,,,,,,,,,,space,13.4616914797,,,,,,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
1,vcgpdm_dyn(5)-lvm(10)_final(4).mov,False,left,0,training(10).mov,0,0,0,43,,,,,,,,14:59:28:645,14:59:29:253,14:59:32:239,right,14:59:33:173,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
2,training(12).mov,True,right,0,dmp_npsi(10)_final(4)_bad.mov,0,1,1,115,,,,,,,,14:59:33:940,14:59:34:691,14:59:37:676,right,14:59:38:427,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
3,tmp_numprim(8)_final(6).mov,False,left,0,training(20).mov,0,2,2,20,,,,,,,,14:59:39:178,14:59:39:929,14:59:42:930,right,14:59:45:065,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
4,training(37).mov,True,right,0,dmp_npsi(15)_final(9).mov,0,3,3,39,,,,,,,,14:59:45:826,14:59:46:586,14:59:49:569,right,14:59:50:286,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
5,training(0).mov,True,right,0,tmp_numprim(5)_final(9).mov,0,4,4,63,,,,,,,,14:59:51:059,14:59:51:787,14:59:54:775,right,14:59:56:576,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
6,vgpdm_dyn(35)-lvm(35)_final(9).mov,True,left,0,training(13).mov,0,5,5,131,,,,,,,,14:59:57:340,14:59:58:078,15:00:01:080,left,15:00:03:599,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
7,training(6).mov,True,right,0,vcgpdm_dyn(10)-lvm(20)_final(4).mov,0,6,6,145,,,,,,,,15:00:04:367,15:00:05:101,15:00:08:103,right,15:00:08:737,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
8,vgpdm_dyn(35)-lvm(35)_final(9).mov,True,left,0,training(22).mov,0,7,7,72,,,,,,,,15:00:09:491,15:00:10:238,15:00:13:240,right,15:00:16:061,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
9,vgpdm_dyn(10)-lvm(35)_final(1).mov,True,left,0,training(5).mov,0,8,8,25,,,,,,,,15:00:16:820,15:00:17:578,15:00:20:564,left,15:00:21:115,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
10,training(26).mov,True,right,0,vcgpdm_dyn(30)-lvm(20)_final(7).mov,0,9,9,137,,,,,,,,15:00:21:873,15:00:22:616,15:00:25:618,right,15:00:27:103,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
11,training(12).mov,False,right,0,vcgpdm_dyn(30)-lvm(10)_final(4).mov,0,10,10,45,,,,,,,,15:00:27:849,15:00:28:604,15:00:31:604,left,15:00:32:238,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
12,vgpdm_dyn(35)-lvm(10)_final(6).mov,True,left,0,training(21).mov,0,11,11,79,,,,,,,,15:00:32:989,15:00:33:757,15:00:36:743,right,15:00:38:394,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
13,training(34).mov,False,right,0,dmp_npsi(30)_final(1).mov,0,12,12,146,,,,,,,,15:00:39:154,15:00:39:896,15:00:42:900,right,15:00:43:334,,2018_Jun_05_1457,59.9339536646,MP-Perception Experiment,xx10m25,
