trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
,,,,,,,,,,space,0,43.822262211,,,,,,,,,,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
,,,,,,,,,,,,,space,8.62270613604,,,,,,,,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
,,,,,,,,,,,,,,,space,13.0631108488,,,,,,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
1,vcgpdm_dyn(10)-lvm(20)_final(9).mov,False,left,0,training(5).mov,0,0,0,147,,,,,,,,12:37:39:760,12:37:39:760,12:37:42:674,left,12:37:43:991,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
2,training(19).mov,False,right,0,vcgpdm_dyn(25)-lvm(15)_final(3).mov,0,1,1,4,,,,,,,,12:37:44:743,12:37:45:509,12:37:48:496,left,12:37:51:182,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
3,vgpdm_dyn(30)-lvm(25)_final(1).mov,False,left,0,training(40).mov,0,2,2,15,,,,,,,,12:37:51:944,12:37:52:683,12:37:55:685,left,12:37:57:804,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
4,vgpdm_dyn(20)-lvm(25)_final(0).mov,True,left,0,training(12).mov,0,3,3,54,,,,,,,,12:37:58:585,12:37:59:321,12:38:02:307,right,12:38:03:458,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
5,training(36).mov,False,right,0,dmp_npsi(5)_final(4)_bad.mov,0,4,4,9,,,,,,,,12:38:04:227,12:38:04:977,12:38:07:979,right,12:38:08:246,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
6,training(2).mov,False,right,0,vgpdm_dyn(30)-lvm(20)_final(9).mov,0,5,5,149,,,,,,,,12:38:09:014,12:38:09:747,12:38:12:748,left,12:38:13:382,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
7,training(41).mov,True,right,0,vcgpdm_dyn(30)-lvm(20)_final(2).mov,0,6,6,99,,,,,,,,12:38:14:147,12:38:14:883,12:38:17:886,right,12:38:18:953,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
8,training(11).mov,True,right,0,vgpdm_dyn(5)-lvm(10)_final(5).mov,0,7,7,36,,,,,,,,12:38:19:722,12:38:20:454,12:38:23:459,right,12:38:24:310,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
9,vgpdm_dyn(30)-lvm(10)_final(5).mov,False,left,0,training(15).mov,0,8,8,103,,,,,,,,12:38:25:071,12:38:25:811,12:38:28:831,left,12:38:29:898,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
10,vcgpdm_dyn(30)-lvm(20)_final(4).mov,True,left,0,training(27).mov,0,9,9,22,,,,,,,,12:38:30:667,12:38:31:416,12:38:34:418,left,12:38:35:286,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
11,training(27).mov,False,right,0,vcgpdm_dyn(15)-lvm(20)_final(0).mov,0,10,10,6,,,,,,,,12:38:36:060,12:38:36:787,12:38:39:790,right,12:38:41:592,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
12,training(39).mov,True,right,0,vgpdm_dyn(35)-lvm(5)_final(4).mov,0,11,11,100,,,,,,,,12:38:42:381,12:38:43:093,12:38:46:112,right,12:38:46:579,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
13,vgpdm_dyn(30)-lvm(10)_final(8).mov,False,left,0,training(33).mov,0,12,12,140,,,,,,,,12:38:47:338,12:38:48:080,12:38:51:083,left,12:38:51:383,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
14,training(1).mov,True,right,0,vgpdm_dyn(15)-lvm(35)_final(2).mov,0,13,13,155,,,,,,,,12:38:52:147,12:38:52:884,12:38:55:887,right,12:38:56:555,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
15,vgpdm_dyn(5)-lvm(20)_final(1).mov,True,left,0,training(21).mov,0,14,14,97,,,,,,,,12:38:57:314,12:38:58:056,12:39:01:075,right,12:39:01:974,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
16,dmp_npsi(30)_final(5).mov,True,left,0,training(39).mov,0,15,15,69,,,,,,,,12:39:02:738,12:39:03:492,12:39:06:478,left,12:39:06:845,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
17,training(27).mov,False,right,0,tmp_numprim(4)_final(2).mov,0,16,16,112,,,,,,,,12:39:07:616,12:39:08:346,12:39:11:348,left,12:39:12:032,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
18,training(11).mov,True,right,0,vcgpdm_dyn(15)-lvm(5)_final(7).mov,0,17,17,158,,,,,,,,12:39:12:789,12:39:13:535,12:39:16:522,right,12:39:17:039,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
19,vcgpdm_dyn(15)-lvm(30)_final(0).mov,True,left,0,training(6).mov,0,18,18,89,,,,,,,,12:39:17:838,12:39:18:540,12:39:21:559,left,12:39:22:176,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
20,training(29).mov,False,right,0,dmp_npsi(15)_final(9).mov,0,19,19,137,,,,,,,,12:39:22:965,12:39:23:678,12:39:26:697,right,12:39:27:464,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
21,training(23).mov,False,right,0,vgpdm_dyn(30)-lvm(25)_final(0).mov,0,20,20,124,,,,,,,,12:39:28:229,12:39:28:965,12:39:31:969,left,12:39:32:386,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
22,training(5).mov,True,right,0,vgpdm_dyn(10)-lvm(25)_final(3).mov,0,21,21,114,,,,,,,,12:39:33:154,12:39:33:887,12:39:36:906,right,12:39:37:473,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
23,dmp_npsi(35)_final(9).mov,True,left,0,training(29).mov,0,22,22,136,,,,,,,,12:39:38:227,12:39:38:974,12:39:41:993,right,12:39:42:794,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
24,training(10).mov,False,right,0,vgpdm_dyn(10)-lvm(25)_final(9).mov,0,23,23,135,,,,,,,,12:39:43:571,12:39:44:295,12:39:47:314,left,12:39:47:715,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
25,vcgpdm_dyn(20)-lvm(25)_final(5).mov,True,left,0,training(40).mov,0,24,24,146,,,,,,,,12:39:48:475,12:39:49:217,12:39:52:218,left,12:39:52:901,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
26,training(31).mov,False,right,0,vcgpdm_dyn(5)-lvm(25)_final(9).mov,0,25,25,51,,,,,,,,12:39:53:667,12:39:54:419,12:39:57:405,right,12:39:57:505,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
27,training(17).mov,True,right,0,tmp_numprim(9)_final(5).mov,0,26,26,46,,,,,,,,12:39:58:282,12:39:59:006,12:40:02:009,left,12:40:02:659,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
28,training(7).mov,True,right,0,vgpdm_dyn(25)-lvm(20)_final(3).mov,0,27,27,23,,,,,,,,12:40:03:434,12:40:04:162,12:40:07:166,right,12:40:07:916,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
29,vcgpdm_dyn(25)-lvm(10)_final(0).mov,False,left,0,training(30).mov,0,28,28,109,,,,,,,,12:40:08:683,12:40:09:418,12:40:12:437,right,12:40:13:204,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
30,tmp_numprim(2)_final(2).mov,False,left,0,training(12).mov,0,29,29,116,,,,,,,,12:40:13:961,12:40:14:705,12:40:17:724,left,12:40:18:442,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
31,training(30).mov,False,right,0,vgpdm_dyn(30)-lvm(35)_final(0).mov,0,30,30,20,,,,,,,,12:40:19:196,12:40:19:960,12:40:22:945,right,12:40:23:462,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
32,vcgpdm_dyn(15)-lvm(25)_final(0).mov,True,left,0,training(25).mov,0,31,31,10,,,,,,,,12:40:24:234,12:40:24:964,12:40:27:984,right,12:40:28:651,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
33,training(35).mov,True,right,0,vcgpdm_dyn(20)-lvm(35)_final(4).mov,0,32,32,21,,,,,,,,12:40:29:417,12:40:30:152,12:40:33:171,right,12:40:33:738,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
34,vgpdm_dyn(30)-lvm(5)_final(8).mov,False,left,0,training(20).mov,0,33,33,115,,,,,,,,12:40:34:499,12:40:35:239,12:40:38:242,right,12:40:38:926,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
35,training(3).mov,False,right,0,vcgpdm_dyn(20)-lvm(15)_final(2).mov,0,34,34,2,,,,,,,,12:40:39:682,12:40:40:428,12:40:43:429,right,12:40:44:163,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
36,training(7).mov,False,right,0,vgpdm_dyn(15)-lvm(30)_final(4).mov,0,35,35,129,,,,,,,,12:40:44:923,12:40:45:664,12:40:48:666,right,12:40:48:766,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
37,training(4).mov,False,right,0,vcgpdm_dyn(35)-lvm(5)_final(6).mov,0,36,36,151,,,,,,,,12:40:49:548,12:40:50:267,12:40:53:272,right,12:40:53:839,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
38,vcgpdm_dyn(10)-lvm(10)_final(4).mov,True,left,0,training(16).mov,0,37,37,88,,,,,,,,12:40:54:609,12:40:55:340,12:40:58:359,left,12:40:59:394,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
39,vgpdm_dyn(5)-lvm(20)_final(8).mov,True,left,0,training(17).mov,0,38,38,74,,,,,,,,12:41:00:160,12:41:00:896,12:41:03:898,left,12:41:04:582,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
40,vgpdm_dyn(10)-lvm(20)_final(0).mov,True,left,0,training(27).mov,0,39,39,80,,,,,,,,12:41:05:333,12:41:06:083,12:41:09:102,right,12:41:09:636,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
41,dmp_npsi(30)_final(3).mov,False,left,0,training(30).mov,0,40,40,0,,,,,,,,12:41:10:451,12:41:11:137,12:41:14:140,right,12:41:14:890,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
42,training(38).mov,True,right,0,vgpdm_dyn(35)-lvm(35)_final(2).mov,0,41,41,63,,,,,,,,12:41:15:660,12:41:16:392,12:41:19:412,left,12:41:20:179,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
43,vgpdm_dyn(5)-lvm(15)_final(4).mov,True,left,0,training(48).mov,0,42,42,96,,,,,,,,12:41:20:963,12:41:21:697,12:41:24:683,left,12:41:25:083,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
44,tmp_numprim(10)_final(9).mov,False,left,0,training(35).mov,0,43,43,27,,,,,,,,12:41:25:851,12:41:26:584,12:41:29:586,left,12:41:30:988,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
45,training(34).mov,True,right,0,vcgpdm_dyn(15)-lvm(10)_final(4).mov,0,44,44,19,,,,,,,,12:41:31:753,12:41:32:503,12:41:35:490,right,12:41:36:091,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
46,training(4).mov,False,right,0,vcgpdm_dyn(30)-lvm(25)_final(4).mov,0,45,45,123,,,,,,,,12:41:36:855,12:41:37:592,12:41:40:595,right,12:41:40:928,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
47,vgpdm_dyn(30)-lvm(30)_final(8).mov,False,left,0,training(8).mov,0,46,46,39,,,,,,,,12:41:41:705,12:41:42:429,12:41:45:417,left,12:41:46:167,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
48,vgpdm_dyn(25)-lvm(35)_final(1).mov,False,left,0,training(8).mov,0,47,47,76,,,,,,,,12:41:46:926,12:41:47:669,12:41:50:688,right,12:41:51:406,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
49,vgpdm_dyn(35)-lvm(25)_final(9).mov,True,left,0,training(4).mov,0,48,48,82,,,,,,,,12:41:52:159,12:41:52:907,12:41:55:910,left,12:41:56:227,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
50,tmp_numprim(5)_final(1).mov,True,left,0,training(9).mov,0,49,49,125,,,,,,,,12:41:57:001,12:41:57:728,12:42:00:730,right,12:42:02:999,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
51,vgpdm_dyn(5)-lvm(10)_final(3).mov,True,left,0,training(33).mov,0,50,50,3,,,,,,,,12:42:03:762,12:42:04:500,12:42:07:519,left,12:42:08:186,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
52,training(25).mov,True,right,0,dmp_npsi(35)_final(7).mov,0,51,51,42,,,,,,,,12:42:08:953,12:42:09:689,12:42:12:691,right,12:42:14:109,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
53,vgpdm_dyn(30)-lvm(20)_final(0).mov,True,left,0,training(5).mov,0,52,52,75,,,,,,,,12:42:14:857,12:42:15:610,12:42:18:612,right,12:42:19:697,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
54,map_cgpdm_final(1).mov,False,left,0,training(5).mov,0,53,53,84,,,,,,,,12:42:20:465,12:42:21:198,12:42:24:198,left,12:42:24:615,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
55,training(36).mov,False,right,0,vcgpdm_dyn(15)-lvm(10)_final(2).mov,0,54,54,126,,,,,,,,12:42:25:382,12:42:26:117,12:42:29:120,right,12:42:29:687,,,2018_Jun_05_1236,59.9404996156,MP-Perception Experiment,xx09w23,
