trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,13.5632725772,,,,,,,,,,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
,,,,,,,,,,,,,space,19.9002803896,,,,,,,,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
,,,,,,,,,,,,,,,space,11.0428143767,,,,,,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
1,vgpdm_dyn(15)-lvm(5)_final(2).mov,False,left,0,training(28).mov,0,0,0,61,,,,,,,,12:26:44:624,12:26:44:624,12:26:47:500,left,12:26:49:616,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
2,vcgpdm_dyn(25)-lvm(30)_final(4).mov,True,left,0,training(14).mov,0,1,1,151,,,,,,,,12:26:50:398,12:26:51:117,12:26:54:120,left,12:26:55:471,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
3,training(8).mov,False,right,0,vcgpdm_dyn(30)-lvm(15)_final(6).mov,0,2,2,41,,,,,,,,12:26:56:255,12:26:56:972,12:26:59:976,right,12:27:01:060,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
4,vcgpdm_dyn(20)-lvm(10)_final(2).mov,True,left,0,training(2).mov,0,3,3,5,,,,,,,,12:27:01:840,12:27:02:563,12:27:05:565,left,12:27:06:182,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
5,training(14).mov,True,right,0,vgpdm_dyn(30)-lvm(20)_final(3).mov,0,4,4,149,,,,,,,,12:27:06:995,12:27:07:684,12:27:10:686,right,12:27:11:153,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
6,training(41).mov,True,right,0,vcgpdm_dyn(20)-lvm(20)_final(6).mov,0,5,5,15,,,,,,,,12:27:11:936,12:27:12:654,12:27:15:657,right,12:27:16:041,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
7,dmp_npsi(40)_final(8).mov,False,left,0,training(17).mov,0,6,6,98,,,,,,,,12:27:16:818,12:27:17:543,12:27:20:545,left,12:27:21:346,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
8,training(19).mov,False,right,0,vgpdm_dyn(25)-lvm(5)_final(2).mov,0,7,7,37,,,,,,,,12:27:22:126,12:27:22:847,12:27:25:849,left,12:27:26:850,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
9,vgpdm_dyn(30)-lvm(10)_final(1).mov,True,left,0,training(38).mov,0,8,8,100,,,,,,,,12:27:27:624,12:27:28:351,12:27:31:354,left,12:27:31:754,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
10,vcgpdm_dyn(15)-lvm(5)_final(8).mov,False,left,0,training(16).mov,0,9,9,35,,,,,,,,12:27:32:529,12:27:33:255,12:27:36:259,left,12:27:36:759,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
11,vcgpdm_dyn(15)-lvm(25)_final(7).mov,False,left,0,training(13).mov,0,10,10,90,,,,,,,,12:27:37:538,12:27:38:275,12:27:41:261,left,12:27:41:561,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
12,vcgpdm_dyn(15)-lvm(20)_final(2).mov,True,left,0,training(25).mov,0,11,11,103,,,,,,,,12:27:42:345,12:27:43:062,12:27:46:065,left,12:27:46:699,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
13,training(31).mov,False,right,0,vcgpdm_dyn(30)-lvm(15)_final(5).mov,0,12,12,141,,,,,,,,12:27:47:476,12:27:48:200,12:27:51:188,left,12:27:51:939,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
14,vgpdm_dyn(35)-lvm(25)_final(8).mov,False,left,0,training(38).mov,0,13,13,2,,,,,,,,12:27:52:719,12:27:53:440,12:27:56:443,right,12:27:56:860,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
15,vgpdm_dyn(25)-lvm(5)_final(9).mov,False,left,0,training(21).mov,0,14,14,111,,,,,,,,12:27:57:600,12:27:58:361,12:28:01:363,left,12:28:01:714,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
16,vcgpdm_dyn(30)-lvm(30)_final(5).mov,False,left,0,training(15).mov,0,15,15,38,,,,,,,,12:28:02:637,12:28:03:215,12:28:06:217,right,12:28:07:251,,2018_Jun_12_1225,59.9512139634,MP-Perception Experiment,xx18w25,
