trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
,,,,,,,,,,space,0,7.13950784119,,,,,,,,,,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
,,,,,,,,,,,,,space,4.22202291264,,,,,,,,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
,,,,,,,,,,,,,,,space,1.33464955964,,,,,,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
1,training(3).mov,True,right,0,vcgpdm_dyn(5)-lvm(10)_final(0).mov,0,0,0,40,,,,,,,,16:26:05:496,16:26:05:984,16:26:08:603,right,16:26:10:021,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
2,training(48).mov,True,right,0,vcgpdm_dyn(20)-lvm(5)_final(6).mov,0,1,1,121,,,,,,,,16:26:10:736,16:26:11:522,16:26:14:525,right,16:26:14:959,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
3,vgpdm_dyn(10)-lvm(20)_final(0).mov,True,left,0,training(19).mov,0,2,2,33,,,,,,,,16:26:15:684,16:26:16:460,16:26:19:463,left,16:26:20:280,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
4,vcgpdm_dyn(35)-lvm(5)_final(2).mov,True,left,0,training(41).mov,0,3,3,59,,,,,,,,16:26:21:001,16:26:21:781,16:26:24:784,left,16:26:25:334,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
5,training(15).mov,False,right,0,tmp_numprim(3)_final(8).mov,0,4,4,111,,,,,,,,16:26:26:059,16:26:26:852,16:26:29:838,right,16:26:29:921,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
6,vgpdm_dyn(5)-lvm(20)_final(2).mov,True,left,0,training(37).mov,0,5,5,102,,,,,,,,16:26:30:649,16:26:31:423,16:26:34:426,left,16:26:34:676,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
7,vgpdm_dyn(10)-lvm(30)_final(7).mov,True,left,0,training(6).mov,0,6,6,4,,,,,,,,16:26:35:403,16:26:36:177,16:26:39:180,left,16:26:39:313,2018_Jun_08_1625,59.9480926064,MP-Perception Experiment,xx15w25take2,
