trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
,,,,,,,,,,space,0,2.73576889913,,,,,,,,,,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
,,,,,,,,,,,,,space,0.717462400812,,,,,,,,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
,,,,,,,,,,,,,,,space,1.10111822515,,,,,,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
1,training(2).mov,False,right,0,vgpdm_dyn(10)-lvm(35)_final(4).mov,0,0,0,112,,,,,,,,16:45:28:761,16:45:29:255,16:45:31:890,right,16:45:32:591,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
2,training(48).mov,True,right,0,vcgpdm_dyn(15)-lvm(15)_final(1).mov,0,1,1,29,,,,,,,,16:45:33:316,16:45:34:094,16:45:37:096,right,16:45:37:497,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
3,vgpdm_dyn(5)-lvm(10)_final(7).mov,True,left,0,training(14).mov,0,2,2,60,,,,,,,,16:45:38:222,16:45:38:998,16:45:42:000,left,16:45:42:234,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
4,training(6).mov,True,right,0,vgpdm_dyn(35)-lvm(20)_final(9)_out_of_screen.mov,0,3,3,129,,,,,,,,16:45:42:966,16:45:43:735,16:45:46:739,right,16:45:47:039,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
5,training(34).mov,False,right,0,vgpdm_dyn(20)-lvm(30)_final(5).mov,0,4,4,69,,,,,,,,16:45:47:766,16:45:48:540,16:45:51:542,left,16:45:51:692,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
6,vgpdm_dyn(10)-lvm(5)_final(0).mov,True,left,0,training(37).mov,0,5,5,153,,,,,,,,16:45:52:437,16:45:53:194,16:45:56:196,left,16:45:56:446,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
7,vgpdm_dyn(35)-lvm(10)_final(4).mov,False,left,0,training(18).mov,0,6,6,106,,,,,,,,16:45:57:393,16:45:57:947,16:46:00:950,right,16:46:01:167,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
8,vcgpdm_dyn(25)-lvm(30)_final(4).mov,True,left,0,training(31).mov,0,7,7,154,,,,,,,,16:46:02:111,16:46:02:669,16:46:05:671,left,16:46:05:905,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
9,training(6).mov,True,right,0,map_gpdm_final(6).mov,0,8,8,68,,,,,,,,16:46:06:864,16:46:07:406,16:46:10:409,right,16:46:15:594,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
10,training(12).mov,False,right,0,vcgpdm_dyn(10)-lvm(30)_final(8).mov,0,9,9,41,,,,,,,,16:46:16:370,16:46:17:095,16:46:20:099,right,16:46:20:549,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
11,vcgpdm_dyn(20)-lvm(30)_final(4).mov,True,left,0,training(31).mov,0,10,10,45,,,,,,,,16:46:21:357,16:46:22:050,16:46:25:038,left,16:46:25:538,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
12,vcgpdm_dyn(15)-lvm(15)_final(7).mov,False,left,0,training(15).mov,0,11,11,132,,,,,,,,16:46:26:503,16:46:27:040,16:46:30:042,left,16:46:30:359,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
13,training(35).mov,True,right,0,vcgpdm_dyn(20)-lvm(30)_final(0).mov,0,12,12,11,,,,,,,,16:46:31:126,16:46:31:860,16:46:34:863,right,16:46:35:080,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
14,vcgpdm_dyn(35)-lvm(10)_final(1).mov,False,left,0,training(21).mov,0,13,13,13,,,,,,,,16:46:35:840,16:46:36:581,16:46:39:584,left,16:46:39:818,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
15,vgpdm_dyn(20)-lvm(25)_final(2).mov,False,left,0,training(26).mov,0,14,14,123,,,,,,,,16:46:40:591,16:46:41:319,16:46:44:321,right,16:46:44:371,2018_Jun_08_1645,59.9503656225,MP-Perception Experiment,xx15w25take4,
