trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,81.4376337392,,,,,,,,,,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
,,,,,,,,,,,,,space,9.30804150513,,,,,,,,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
,,,,,,,,,,,,,,,space,23.8703936108,,,,,,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
1,training(2).mov,False,right,0,vcgpdm_dyn(20)-lvm(30)_final(1).mov,0,0,0,140,,,,,,,,15:00:00:176,15:00:00:691,15:00:03:577,left,15:00:04:628,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
2,vcgpdm_dyn(5)-lvm(35)_final(1)_bad.mov,False,left,0,training(27).mov,0,1,1,19,,,,,,,,15:00:05:493,15:00:06:129,15:00:09:132,left,15:00:09:149,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
3,training(14).mov,True,right,0,vcgpdm_dyn(25)-lvm(10)_final(1).mov,0,2,2,146,,,,,,,,15:00:09:923,15:00:10:650,15:00:13:653,right,15:00:14:136,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
4,training(13).mov,False,right,0,vgpdm_dyn(25)-lvm(35)_final(9).mov,0,3,3,37,,,,,,,,15:00:14:915,15:00:15:637,15:00:18:640,left,15:00:19:240,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
5,vgpdm_dyn(10)-lvm(30)_final(0).mov,False,left,0,training(19).mov,0,4,4,109,,,,,,,,15:00:20:198,15:00:20:741,15:00:23:744,left,15:00:24:044,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
6,training(48).mov,True,right,0,vgpdm_dyn(35)-lvm(5)_final(1).mov,0,5,5,69,,,,,,,,15:00:24:826,15:00:25:546,15:00:28:549,left,15:00:29:083,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
7,vgpdm_dyn(35)-lvm(35)_final(7).mov,True,left,0,training(3).mov,0,6,6,62,,,,,,,,15:00:30:030,15:00:30:584,15:00:33:586,right,15:00:33:985,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
8,vgpdm_dyn(35)-lvm(30)_final(8).mov,False,left,0,training(5).mov,0,7,7,51,,,,,,,,15:00:34:767,15:00:35:486,15:00:38:488,right,15:00:39:289,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
9,vgpdm_dyn(15)-lvm(15)_final(7).mov,True,left,0,training(10).mov,0,8,8,120,,,,,,,,15:00:40:068,15:00:40:790,15:00:43:794,right,15:00:44:311,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
10,tmp_numprim(2)_final(1).mov,True,left,0,training(25).mov,0,9,9,156,,,,,,,,15:00:45:087,15:00:45:814,15:00:48:799,left,15:00:49:216,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
11,vgpdm_dyn(5)-lvm(30)_final(3).mov,False,left,0,training(20).mov,0,10,10,108,,,,,,,,15:00:49:997,15:00:50:718,15:00:53:720,left,15:00:53:937,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
12,training(12).mov,True,right,0,vcgpdm_dyn(15)-lvm(25)_final(6).mov,0,11,11,21,,,,,,,,15:00:54:738,15:00:55:438,15:00:58:441,right,15:00:58:741,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
13,vgpdm_dyn(10)-lvm(35)_final(9).mov,False,left,0,training(8).mov,0,12,12,66,,,,,,,,15:00:59:520,15:01:00:243,15:01:03:246,left,15:01:03:646,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
14,training(38).mov,False,right,0,vcgpdm_dyn(10)-lvm(30)_final(3).mov,0,13,13,92,,,,,,,,15:01:04:420,15:01:05:147,15:01:08:150,right,15:01:08:466,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
15,vcgpdm_dyn(35)-lvm(20)_final(5).mov,True,left,0,training(12).mov,0,14,14,154,,,,,,,,15:01:09:241,15:01:09:967,15:01:12:970,left,15:01:13:354,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
16,dmp_npsi(35)_final(9).mov,False,left,0,training(13).mov,0,15,15,124,,,,,,,,15:01:14:142,15:01:14:855,15:01:17:858,right,15:01:18:309,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
17,training(15).mov,True,right,0,vgpdm_dyn(25)-lvm(25)_final(0)_bad.mov,0,16,16,35,,,,,,,,15:01:19:270,15:01:19:810,15:01:22:812,right,15:01:24:462,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
18,dmp_npsi(50)_final(1).mov,False,left,0,training(6).mov,0,17,17,8,,,,,,,,15:01:25:241,15:01:25:980,15:01:28:965,right,15:01:29:432,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
19,training(11).mov,False,right,0,vgpdm_dyn(5)-lvm(15)_final(1).mov,0,18,18,104,,,,,,,,15:01:31:353,15:01:31:354,15:01:33:936,right,15:01:34:420,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
20,training(38).mov,True,right,0,vcgpdm_dyn(10)-lvm(35)_final(9).mov,0,19,19,10,,,,,,,,15:01:35:205,15:01:35:924,15:01:38:910,right,15:01:39:460,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
21,vcgpdm_dyn(25)-lvm(15)_final(4).mov,False,left,0,training(18).mov,0,20,20,53,,,,,,,,15:01:40:423,15:01:40:961,15:01:43:964,left,15:01:44:898,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
22,vgpdm_dyn(10)-lvm(35)_final(0).mov,False,left,0,training(24).mov,0,21,21,111,,,,,,,,15:01:45:863,15:01:46:399,15:01:49:402,left,15:01:49:768,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
23,vgpdm_dyn(25)-lvm(30)_final(0).mov,False,left,0,training(2).mov,0,22,22,83,,,,,,,,15:01:50:724,15:01:51:269,15:01:54:273,right,15:01:54:573,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
24,training(29).mov,True,right,0,vgpdm_dyn(25)-lvm(5)_final(4).mov,0,23,23,98,,,,,,,,15:01:55:375,15:01:56:074,15:01:59:077,left,15:01:59:561,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
25,vcgpdm_dyn(30)-lvm(25)_final(6).mov,True,left,0,training(21).mov,0,24,24,7,,,,,,,,15:02:00:524,15:02:01:062,15:02:04:064,right,15:02:04:348,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
26,vcgpdm_dyn(15)-lvm(20)_final(6).mov,True,left,0,training(36).mov,0,25,25,15,,,,,,,,15:02:05:124,15:02:05:849,15:02:08:852,left,15:02:09:152,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
27,vcgpdm_dyn(20)-lvm(5)_final(9).mov,False,left,0,training(28).mov,0,26,26,20,,,,,,,,15:02:10:103,15:02:10:654,15:02:13:656,left,15:02:13:971,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
28,training(29).mov,False,right,0,vgpdm_dyn(35)-lvm(10)_final(6).mov,0,27,27,68,,,,,,,,15:02:14:749,15:02:15:473,15:02:18:475,right,15:02:18:842,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
29,vcgpdm_dyn(10)-lvm(30)_final(9).mov,True,left,0,training(4).mov,0,28,28,101,,,,,,,,15:02:19:799,15:02:20:343,15:02:23:346,left,15:02:23:763,,2018_Jun_11_1458,59.9520616214,MP-Perception Experiment,xx16w21,
