trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,104.10473167,,,,,,,,,,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
,,,,,,,,,,,,,space,12.2787363219,,,,,,,,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
,,,,,,,,,,,,,,,space,19.6167452372,,,,,,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
1,vcgpdm_dyn(20)-lvm(15)_final(1).webm,False,left,0,training(17).webm,0,0,0,15,,,,,,,,12:08:32:596,12:08:33:333,12:08:36:319,right,12:08:37:136,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
2,vcgpdm_dyn(15)-lvm(10)_final(2).webm,False,left,0,training(13).webm,0,1,1,132,,,,,,,,12:08:37:923,12:08:38:637,12:08:41:640,left,12:08:42:557,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
3,dmp_npsi(25)_final(5).webm,True,left,0,training(17).webm,0,2,2,30,,,,,,,,12:08:43:239,12:08:44:058,12:08:47:059,left,12:08:47:710,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
4,vgpdm_dyn(30)-lvm(30)_final(2).webm,False,left,0,training(41).webm,0,3,3,98,,,,,,,,12:08:48:453,12:08:49:211,12:08:52:214,right,12:08:53:782,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
5,training(28).webm,True,right,0,vcgpdm_dyn(30)-lvm(5)_final(5).webm,0,4,4,154,,,,,,,,12:08:54:460,12:08:55:283,12:08:58:286,left,12:08:59:872,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
6,training(25).webm,True,right,0,vcgpdm_dyn(15)-lvm(10)_final(0).webm,0,5,5,55,,,,,,,,12:09:00:685,12:09:01:373,12:09:04:376,left,12:09:05:076,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
7,vgpdm_dyn(30)-lvm(5)_final(8).webm,True,left,0,training(36).webm,0,6,6,113,,,,,,,,12:09:05:753,12:09:06:578,12:09:09:581,right,12:09:10:198,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
8,training(11).webm,False,right,0,vgpdm_dyn(30)-lvm(35)_final(8).webm,0,7,7,75,,,,,,,,12:09:10:877,12:09:11:699,12:09:14:702,left,12:09:15:853,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
9,vcgpdm_dyn(20)-lvm(30)_final(3).webm,True,left,0,training(17).webm,0,8,8,2,,,,,,,,12:09:16:594,12:09:17:354,12:09:20:357,left,12:09:23:009,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
10,training(11).webm,True,right,0,vgpdm_dyn(10)-lvm(15)_final(9).webm,0,9,9,77,,,,,,,,12:09:23:859,12:09:24:510,12:09:27:513,right,12:09:28:247,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
11,training(4).webm,False,right,0,vcgpdm_dyn(25)-lvm(25)_final(5).webm,0,10,10,103,,,,,,,,12:09:29:095,12:09:29:748,12:09:32:751,right,12:09:33:268,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
12,training(21).webm,False,right,0,vcgpdm_dyn(20)-lvm(30)_final(1).webm,0,11,11,150,,,,,,,,12:09:34:116,12:09:34:769,12:09:37:770,right,12:09:38:237,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
13,vcgpdm_dyn(5)-lvm(10)_final(1).webm,False,left,0,training(19).webm,0,12,12,19,,,,,,,,12:09:39:089,12:09:39:738,12:09:42:740,left,12:09:43:258,,2012_Dec_31_1206,59.9520256822,MP-Perception Experiment,xx23w20,
