trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,49.6920566321,,,,,,,,,,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
,,,,,,,,,,,,,space,14.6641116378,,,,,,,,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
,,,,,,,,,,,,,,,space,11.9768701173,,,,,,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
1,vcgpdm_dyn(35)-lvm(5)_final(0).mov,True,left,0,training(23).mov,0,0,0,62,,,,,,,,17:34:07:419,17:34:07:419,17:34:10:236,left,17:34:10:370,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
2,training(35).mov,True,right,0,vcgpdm_dyn(30)-lvm(10)_final(0).mov,0,1,1,141,,,,,,,,17:34:11:160,17:34:11:888,17:34:14:873,right,17:34:16:475,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
3,training(7).mov,False,right,0,vcgpdm_dyn(15)-lvm(25)_final(9).mov,0,2,2,72,,,,,,,,17:34:17:265,17:34:17:977,17:34:20:979,left,17:34:21:580,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
4,vcgpdm_dyn(35)-lvm(25)_final(9).mov,False,left,0,training(38).mov,0,3,3,3,,,,,,,,17:34:22:368,17:34:23:098,17:34:26:084,right,17:34:26:651,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
5,training(20).mov,True,right,0,vcgpdm_dyn(25)-lvm(25)_final(5).mov,0,4,4,143,,,,,,,,17:34:27:431,17:34:28:152,17:34:31:152,left,17:34:31:703,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
6,tmp_numprim(2)_final(3).mov,True,left,0,training(38).mov,0,5,5,17,,,,,,,,17:34:32:481,17:34:33:204,17:34:36:207,left,17:34:36:808,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
7,vgpdm_dyn(30)-lvm(15)_final(0).mov,False,left,0,training(10).mov,0,6,6,70,,,,,,,,17:34:37:584,17:34:38:309,17:34:41:297,left,17:34:41:580,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
8,training(21).mov,True,right,0,vgpdm_dyn(10)-lvm(25)_final(0).mov,0,7,7,68,,,,,,,,17:34:42:369,17:34:43:081,17:34:46:084,left,17:34:47:168,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
9,dmp_npsi(35)_final(9).mov,True,left,0,training(12).mov,0,8,8,32,,,,,,,,17:34:47:964,17:34:48:669,17:34:51:688,left,17:34:52:841,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
10,training(10).mov,False,right,0,tmp_numprim(9)_final(3).mov,0,9,9,63,,,,,,,,17:34:53:605,17:34:54:342,17:34:57:344,left,17:34:57:361,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
11,training(38).mov,False,right,0,vcgpdm_dyn(30)-lvm(20)_final(1).mov,0,10,10,144,,,,,,,,17:34:58:136,17:34:58:862,17:35:01:864,left,17:35:02:915,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
12,training(10).mov,False,right,0,vgpdm_dyn(5)-lvm(10)_final(1).mov,0,11,11,86,,,,,,,,17:35:03:700,17:35:04:416,17:35:07:419,right,17:35:07:769,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
13,training(33).mov,False,right,0,vgpdm_dyn(15)-lvm(5)_final(3).mov,0,12,12,146,,,,,,,,17:35:08:555,17:35:09:270,17:35:12:274,right,17:35:12:707,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
14,vgpdm_dyn(15)-lvm(30)_final(8).mov,True,left,0,training(10).mov,0,13,13,61,,,,,,,,17:35:13:487,17:35:14:225,17:35:17:211,left,17:35:17:562,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
15,vgpdm_dyn(5)-lvm(10)_final(9).mov,True,left,0,training(29).mov,0,14,14,34,,,,,,,,17:35:18:346,17:35:19:094,17:35:22:080,left,17:35:22:614,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
16,training(36).mov,True,right,0,vcgpdm_dyn(35)-lvm(5)_final(5).mov,0,15,15,114,,,,,,,,17:35:23:392,17:35:24:115,17:35:27:117,right,17:35:27:469,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
17,training(25).mov,True,right,0,vgpdm_dyn(25)-lvm(35)_final(4).mov,0,16,16,54,,,,,,,,17:35:28:256,17:35:28:970,17:35:31:957,right,17:35:32:875,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
18,tmp_numprim(4)_final(3).mov,False,left,0,training(25).mov,0,17,17,26,,,,,,,,17:35:33:652,17:35:34:376,17:35:37:379,left,17:35:37:896,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
19,training(23).mov,False,right,0,dmp_npsi(35)_final(0).mov,0,18,18,103,,,,,,,,17:35:38:706,17:35:39:397,17:35:42:399,right,17:35:42:816,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
20,training(12).mov,True,right,0,vgpdm_dyn(30)-lvm(30)_final(4).mov,0,19,19,107,,,,,,,,17:35:43:584,17:35:44:317,17:35:47:321,right,17:35:47:821,,2018_May_29_1732,59.9384437645,MP-Perception Experiment,xx03w22,
