trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,18.5677377715,,,,,,,,,,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
,,,,,,,,,,,,,space,9.75851275517,,,,,,,,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
,,,,,,,,,,,,,,,space,26.3208119287,,,,,,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
1,vcgpdm_dyn(10)-lvm(25)_final(2).webm,False,left,0,training(4).webm,0,0,0,116,,,,,,,,15:04:50:878,15:04:51:451,15:04:54:437,left,15:04:55:571,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
2,dmp_npsi(30)_final(0).webm,True,left,0,training(15).webm,0,1,1,132,,,,,,,,15:04:56:252,15:04:57:074,15:05:00:077,left,15:05:00:811,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
3,vcgpdm_dyn(25)-lvm(20)_final(9).webm,True,left,0,training(35).webm,0,2,2,51,,,,,,,,15:05:01:494,15:05:02:313,15:05:05:315,right,15:05:05:949,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
4,training(38).webm,False,right,0,vgpdm_dyn(20)-lvm(25)_final(2).webm,0,3,3,95,,,,,,,,15:05:06:627,15:05:07:467,15:05:10:453,right,15:05:10:886,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
5,vcgpdm_dyn(15)-lvm(10)_final(7).webm,False,left,0,training(7).webm,0,4,4,142,,,,,,,,15:05:11:597,15:05:12:388,15:05:15:390,left,15:05:15:874,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
6,training(48).webm,True,right,0,map_cgpdm_final(8).webm,0,5,5,52,,,,,,,,15:05:16:556,15:05:17:375,15:05:20:378,right,15:05:20:862,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
7,training(25).webm,True,right,0,vcgpdm_dyn(20)-lvm(25)_final(1).webm,0,6,6,29,,,,,,,,15:05:21:672,15:05:22:363,15:05:25:366,right,15:05:25:950,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
8,training(6).webm,False,right,0,dmp_npsi(40)_final(9).webm,0,7,7,134,,,,,,,,15:05:26:634,15:05:27:451,15:05:30:453,right,15:05:31:187,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
9,training(38).webm,False,right,0,vcgpdm_dyn(35)-lvm(25)_final(5).webm,0,8,8,59,,,,,,,,15:05:31:863,15:05:32:688,15:05:35:689,right,15:05:36:173,,2013_Jan_12_1503,59.9666424657,MP-Perception Experiment,xx30w21,
