trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
234,dmp_npsi(20)_final(0).mov,False,left,1,training(12).mov,0,74,74,68,,,,,,,,08:27:01:983,08:27:02:726,08:27:05:712,left,08:27:06:063,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
235,training(29).mov,True,right,1,vcgpdm_dyn(5)-lvm(25)_final(6).mov,0,75,75,104,,,,,,,,08:27:06:847,08:27:07:564,08:27:10:567,right,08:27:10:968,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
236,vgpdm_dyn(15)-lvm(25)_final(3).mov,False,left,1,training(22).mov,0,76,76,67,,,,,,,,08:27:11:785,08:27:12:468,08:27:15:456,left,08:27:16:340,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
237,training(6).mov,False,right,1,tmp_numprim(7)_final(3).mov,0,77,77,127,,,,,,,,08:27:17:129,08:27:17:841,08:27:20:844,right,08:27:21:278,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
238,tmp_numprim(4)_final(9).mov,True,left,1,training(23).mov,0,78,78,38,,,,,,,,08:27:22:063,08:27:22:779,08:27:25:781,left,08:27:26:182,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
239,vgpdm_dyn(35)-lvm(10)_final(6).mov,True,left,1,training(2).mov,0,79,79,149,,,,,,,,08:27:26:956,08:27:27:684,08:27:30:703,left,08:27:31:220,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
240,training(24).mov,False,right,1,vcgpdm_dyn(10)-lvm(5)_final(3).mov,0,80,80,142,,,,,,,,08:27:31:973,08:27:32:721,08:27:35:740,right,08:27:36:141,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
241,vgpdm_dyn(10)-lvm(5)_final(0).mov,False,left,1,training(16).mov,0,81,81,64,,,,,,,,08:27:36:923,08:27:37:642,08:27:40:661,left,08:27:41:762,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
242,training(3).mov,False,right,1,vgpdm_dyn(20)-lvm(30)_final(5).mov,0,82,82,30,,,,,,,,08:27:42:540,08:27:43:279,08:27:46:266,right,08:27:46:767,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
243,training(10).mov,False,right,1,vcgpdm_dyn(30)-lvm(25)_final(6).mov,0,83,83,138,,,,,,,,08:27:47:544,08:27:48:268,08:27:51:288,left,08:27:51:854,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
244,vcgpdm_dyn(20)-lvm(30)_final(7).mov,False,left,1,training(32).mov,0,84,84,10,,,,,,,,08:27:52:616,08:27:53:370,08:27:56:356,left,08:27:56:890,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
245,training(37).mov,False,right,1,vcgpdm_dyn(20)-lvm(25)_final(2).mov,0,85,85,54,,,,,,,,08:27:57:661,08:27:58:391,08:28:01:393,right,08:28:01:727,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
246,training(48).mov,True,right,1,vgpdm_dyn(30)-lvm(15)_final(7).mov,0,86,86,98,,,,,,,,08:28:02:503,08:28:03:229,08:28:06:217,right,08:28:06:667,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
247,vgpdm_dyn(30)-lvm(35)_final(8).mov,False,left,1,training(35).mov,0,87,87,155,,,,,,,,08:28:07:465,08:28:08:168,08:28:11:171,right,08:28:11:655,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
248,training(30).mov,True,right,1,vcgpdm_dyn(15)-lvm(15)_final(0).mov,0,88,88,147,,,,,,,,08:28:12:427,08:28:13:156,08:28:16:158,left,08:28:16:575,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
249,vcgpdm_dyn(10)-lvm(10)_final(0).mov,False,left,1,training(7).mov,0,89,89,16,,,,,,,,08:28:17:359,08:28:18:076,08:28:21:080,left,08:28:21:547,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
