trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,32.1291668913,,,,,,,,,,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
,,,,,,,,,,,,,space,14.262242382,,,,,,,,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
,,,,,,,,,,,,,,,space,12.2586280268,,,,,,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
1,training(29).mov,True,right,0,vcgpdm_dyn(35)-lvm(25)_final(8).mov,0,0,0,7,,,,,,,,14:25:41:658,14:25:41:658,14:25:44:482,right,14:25:45:633,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
2,vcgpdm_dyn(20)-lvm(10)_final(7).mov,True,left,0,training(22).mov,0,1,1,156,,,,,,,,14:25:46:408,14:25:47:151,14:25:50:154,right,14:25:51:371,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
3,training(1).mov,True,right,0,dmp_npsi(50)_final(3).mov,0,2,2,125,,,,,,,,14:25:52:152,14:25:52:872,14:25:55:875,left,14:25:57:026,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
4,training(30).mov,True,right,0,vgpdm_dyn(30)-lvm(25)_final(2).mov,0,3,3,70,,,,,,,,14:25:57:809,14:25:58:527,14:26:01:530,right,14:26:02:431,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
5,vgpdm_dyn(35)-lvm(5)_final(9).mov,False,left,0,training(21).mov,0,4,4,133,,,,,,,,14:26:03:212,14:26:03:932,14:26:06:952,right,14:26:08:436,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
6,vcgpdm_dyn(5)-lvm(5)_final(3).mov,True,left,0,training(34).mov,0,5,5,13,,,,,,,,14:26:09:223,14:26:09:937,14:26:12:940,left,14:26:13:690,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
7,vcgpdm_dyn(35)-lvm(20)_final(3).mov,True,left,0,training(25).mov,0,6,6,44,,,,,,,,14:26:14:469,14:26:15:191,14:26:18:195,left,14:26:18:695,,2018_May_29_1424,59.9369829434,MP-Perception Experiment,xx02w20,
