trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,68.7429859143,,,,,,,,,,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
,,,,,,,,,,,,,space,16.3138438557,,,,,,,,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
,,,,,,,,,,,,,,,space,16.7457593837,,,,,,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
1,training(41).mov,True,right,0,vgpdm_dyn(10)-lvm(5)_final(2).mov,0,0,0,118,,,,,,,,16:26:18:497,16:26:18:497,16:26:21:390,left,16:26:21:590,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
2,training(11).mov,False,right,0,vcgpdm_dyn(5)-lvm(5)_final(8).mov,0,1,1,155,,,,,,,,16:26:22:369,16:26:23:092,16:26:26:079,right,16:26:41:126,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
3,training(39).mov,True,right,0,vgpdm_dyn(30)-lvm(10)_final(1).mov,0,2,2,52,,,,,,,,16:26:41:900,16:26:42:627,16:26:45:629,right,16:26:48:965,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
4,training(17).mov,False,right,0,vgpdm_dyn(35)-lvm(30)_final(3).mov,0,3,3,17,,,,,,,,16:26:49:926,16:26:50:466,16:26:53:470,left,16:26:54:271,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
5,training(8).mov,False,right,0,vgpdm_dyn(25)-lvm(35)_final(2).mov,0,4,4,8,,,,,,,,16:26:55:048,16:26:55:772,16:26:58:774,left,16:26:59:225,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
6,vgpdm_dyn(35)-lvm(25)_final(5).mov,True,left,0,training(35).mov,0,5,5,136,,,,,,,,16:27:00:180,16:27:00:726,16:27:03:728,right,16:27:04:344,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
7,training(28).mov,False,right,0,vcgpdm_dyn(30)-lvm(15)_final(8).mov,0,6,6,45,,,,,,,,16:27:05:117,16:27:05:845,16:27:08:848,right,16:27:09:782,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
8,training(34).mov,False,right,0,vgpdm_dyn(15)-lvm(30)_final(1).mov,0,7,7,86,,,,,,,,16:27:10:739,16:27:11:283,16:27:14:286,left,16:27:15:437,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
9,training(32).mov,True,right,0,tmp_numprim(8)_final(4).mov,0,8,8,108,,,,,,,,16:27:16:213,16:27:16:940,16:27:19:942,left,16:27:20:676,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
10,training(9).mov,True,right,0,vgpdm_dyn(20)-lvm(5)_final(7).mov,0,9,9,80,,,,,,,,16:27:21:549,16:27:22:177,16:27:25:180,right,16:27:25:764,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
11,training(40).mov,True,right,0,vcgpdm_dyn(10)-lvm(5)_final(0).mov,0,10,10,0,,,,,,,,16:27:26:543,16:27:27:266,16:27:30:268,right,16:27:30:936,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
12,vgpdm_dyn(5)-lvm(20)_final(6).mov,False,left,0,training(29).mov,0,11,11,65,,,,,,,,16:27:31:887,16:27:32:437,16:27:35:439,right,16:27:36:056,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
13,vgpdm_dyn(20)-lvm(20)_final(0).mov,True,left,0,training(36).mov,0,12,12,113,,,,,,,,16:27:36:838,16:27:37:557,16:27:40:560,left,16:27:41:110,,2018_Jun_11_1624,59.9596222988,MP-Perception Experiment,xx17m26,
