trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,key_resp_4.keys,date,frameRate,expName,participant,
,,,,,,,,,,space,0,119.654110527,,,,,,,,,,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
,,,,,,,,,,,,,space,11.0929558139,,,,,,,,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
,,,,,,,,,,,,,,,space,8.97448996955,,,,,,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
1,training(3).webm,False,right,0,vcgpdm_dyn(10)-lvm(20)_final(5).webm,0,0,0,72,,,,,,,,10:12:29:580,10:12:30:290,10:12:33:276,right,10:12:34:343,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
2,training(6).webm,False,right,0,vcgpdm_dyn(20)-lvm(30)_final(7).webm,0,1,1,57,,,,,,,,10:12:35:193,10:12:35:845,10:12:38:845,right,10:12:39:663,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
3,training(21).webm,False,right,0,vcgpdm_dyn(10)-lvm(30)_final(2).webm,0,2,2,9,,,,,,,,10:12:40:513,10:12:41:164,10:12:44:167,left,10:12:48:904,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
4,vcgpdm_dyn(10)-lvm(25)_final(3).webm,False,left,0,training(8).webm,0,3,3,13,,,,,,,,10:12:49:753,10:12:50:405,10:12:53:393,left,10:12:54:794,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
5,training(4).webm,True,right,0,vcgpdm_dyn(20)-lvm(35)_final(3).webm,0,4,4,78,,,,,,,,10:12:55:641,10:12:56:295,10:12:59:298,left,10:13:00:433,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
6,training(33).webm,False,right,0,vgpdm_dyn(30)-lvm(25)_final(2).webm,0,5,5,39,,,,,,,,10:13:01:119,10:13:01:934,10:13:04:937,right,10:13:05:787,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
7,training(12).webm,False,right,0,vcgpdm_dyn(5)-lvm(25)_final(0).webm,0,6,6,120,,,,,,,,10:13:06:635,10:13:07:289,10:13:10:291,right,10:13:11:575,,2013_Jan_13_1010,59.9492109003,MP-Perception Experiment,xx31w44,
