ELBO,MSE,mp_type,prm0_dyn,prm1_lvm,confusion_rate,std,dyn_elbo,lvm_elbo
115827.383836,0.00357820731425,vcgpdm,15,25,0.252688,0.031717,-6478.06153407,122477.651981
110320.476358,0.00376913845998,vcgpdm,15,30,0.236559,0.031037,-9392.4110403,119923.604043
101588.262588,0.00604135218269,vcgpdm,15,35,0.177419,0.027997,-6234.36114916,108012.933491
95464.8902697,0.00223375439565,vcgpdm,20,5,0.247312, 0.031497,-2073.54659135,97767.3132588
111876.15249,0.00164085488825,vcgpdm,20,10,0.247312,0.031497,-2939.33717171,114999.746365
114826.447518,0.00121837334378,vcgpdm,20,15,0.473118,0.036318,-2778.88123567,117825.502574
116585.872404,0.00132674008064,vcgpdm,20,20,0.467742,0.036295,-2993.32651331,119764.292525
111113.982591,0.00851029925607,vcgpdm,20,25,0.123656, 0.024274,-9118.7847698,120408.96666
111610.716691,0.00738761458446,vcgpdm,20,30,0.086022,0.020861,-9714.53744334,121534.075597
98674.5762762,0.00189591342089,vcgpdm,20,35,0.387097, 0.035450,-4696.37633192,103553.858177
95752.6936199,0.00205987918701,vcgpdm,25,5,0.295699,0.033265,-1959.83195117,97940.1836861
111725.644484,0.00136506648892,vcgpdm,25,10,0.311828,0.033755,-2716.63134351,114638.163651
110577.747329,0.00241183152707,vcgpdm,25,15, 0.344086,0.034596,-2683.46982556,113458.030923
119315.576317,0.00113910090699,vcgpdm,25,20,0.258065,0.031931,-3218.5184907,122707.381885
117612.188626,0.00121264261506,vcgpdm,25,25,0.446237,0.036163,-4060.05384139,121845.206876
109864.155749,0.00198418128964,vcgpdm,25,30, 0.381720 ,0.035360,-5080.08883277,115110.144215
100502.758446,0.00200149883012,vcgpdm,25,35, 0.182796, 0.028313,-5215.37425599,105867.202408
95475.2850584,0.00214957625476,vcgpdm,30,5,0.263441,0.032139,-2063.11918763,97748.8137611
109704.778646,0.0020914101932,vcgpdm,30,10,0.225806,0.030551,-2979.79643,112865.448747
118655.625359,0.00123047944826,vcgpdm,30,15,0.381720 , 0.035360,-3030.01873905,121894.400903
116486.800771,0.00331789330087,vcgpdm,30,20,0.365591,0.035060,-4262.93251098,120962.633829
115485.309302,0.00282830833426,vcgpdm,30,25,0.209677, 0.029770,-5560.88274485,121211.287386
111880.045625,0.00658333051648,vcgpdm,30,30,0.053763,0.017072,-8131.66616948,120183.408798
94930.7584282,0.00325796347047,vcgpdm,30,35,0.258065  ,0.031931,-5073.90868831,100154.454502
94631.6428053,0.00227255800881,vcgpdm,35,5,0.333333,0.034335,-1942.18338439,96785.2077194
112109.78352,0.00172337573624,vcgpdm,35,10,0.311828,0.033755,-2927.72751431,115230.144815
101125.395702,0.00422812665038,vcgpdm,35,15,0,0,-2959.00666165,104263.858693
113503.849314,0.00497397433915,vcgpdm,35,20,0.344086,0.034596,-2992.66798474,116661.975956
110413.547616,0.00602540905074,vcgpdm,35,25,0.139785,0.025510,-7455.66058127,118091.378823
104039.847257,0.00265483811725,vcgpdm,35,30,0.096774,0.021925,-11643.4597525,115888.947857
108500.734048,0.152416490228,vcgpdm,35,35,0,0,-4865.1714419,113574.881025
-6349654.94398,0.0130714511466,mapgpdm,999,999,0,0.0031948717685731723,,
-3060189.94433,0.00660695537528,mapcgpdm,999,999,0.109677419355,0.017838040429818208,,
,0.0107475411174,dmp,5,999,0,0.029398257580161572 ,,
,0.00809061739295,dmp,10,999,0,0.029398257580161572,,
,0.00527450201562,dmp,15,999,0.0053763440860215006,0.0074624720682149115,,
,0.00443150435788,dmp,20,999,0.016129032258064502,0.010496636452495814,,
,0.00425550793827,dmp,25,999,0.053763440860215006,0.017072386117506451,,
,0.00429003731411,dmp,30,999,0.10752688172043012,0.022912851034255471,,
,0.00437826924217,dmp,35,999,0.27956989247311825,0.032727743871364783,,
,0.00449777598161,dmp,40,999,0.24193548387096775,0.031270464806919522,,
,0.00460744033584,dmp,45,999,0.29569892473118276,0.033265359998747732,,
,0.0046942254132,dmp,50,999, 0.39784946236559138,0.0356189491145522,,
-1754907.14166,0.00662182318246,tmp,2,999,0.010752688172043001,0.0091150223989091093 ,,
-1118746.46215,0.00457896825252,tmp,3,999,0.037634408602150504,0.014682245943454344,,
-787456.545206,0.00382539037015,tmp,4,999,0.032258064516129004,0.013772080611975228,,
-463391.071191,0.00285887318756,tmp,5,999,0.10215053763440862,0.022427501135945955,,
-263162.647121,0.00229734577447,tmp,6,999,0.37096774193548387,0.035164242980244717,,
-119307.675465,0.00189737537214,tmp,7,999,0.43548387096774188,0.036072073521727505,,
-38997.5337759,0.00168335978036,tmp,8,999,0.41397849462365588,0.035838918248883474,,
-3745.97365498,0.00158079758462,tmp,9,999,0.36021505376344087,0.034950736191814269,,
23125.3315371,0.00147825282907,tmp,10,999,0.4623655913978495,0.036268664312042349,,
